Name,Address,PostalCode,PhoneNumber,InstitutionsCategory,InstitutionsType
Uni-Graz; HPR; Zentrum für Bewegungswissenschaften u. sportmedizinische Forschung,Max-Mell-Allee 11,8010,+43(0)3163803900,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
FH Technopark,Alte Poststraße 156,8020,,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
Päd. Hochschule Stmk.,Hasnerplatz 12,8010,+43(0)31680671601,Universitäten; Hoch- & Fachhochschulen,Pädagogische Hochschule
FH Joanneum; Fahrzeugtechnik,Alte Poststraße 149,8020,+43(0)31654538400,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Industrial Design,Alte Poststraße 149,8020,+43(0)31654538100,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
TU-Graz; Institut für Prozess- und Partikeltechnik,Inffeldgasse 21a,8010,+43(0)3168737464,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Fakultät für Informatik; IAIK,Inffeldgasse 16a,8010,+43(0)3168735514,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
KUG Institut 16 Jazzforschung,Leonhardstraße 15,8010,+43(0)3163893160,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
KUG Institut 7 Gesang; Lied; Oratorium,Leonhardstraße 82-84,8010,,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
KUG Institut 9 Schauspiel,Leonhardstraße 19/(TIP),8010,+43(0)31638930903093,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Forschungsstelle Österr.Deutsch,Heinrichstraße 22/II,8010,+43(0)3163802535,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
Uni-Graz; Institut für Sportwissenschaften,Mozartgasse 14/I,8010,+43(0)3163802325,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
Uni-Graz; Institut für Systemwissenschaften,Merangasse 18/I,8010,+43(0)3163803238,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
MED Institut für Anatomie,Harrachgasse 21,8010,+43(0)3163804210,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Physiologische Chemie,Harrachgasse 21/II,8010,+43(0)3163804161,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
KUG Institut 8 Jazz,Moserhofgasse 39-41,8010,,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
KUG Institut 11 Bühnengestaltung,Leonhardstraße 82-84,8010,,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
KUG Institut 12 Oberschützen,Hauptplatz 8,8010,,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
TU-Graz; Institut der Fakultät für Technische Mathmatik u. Technische Physik,Steyrergasse 17,8010,+43(0)3168738320,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
Uni-Graz; Fakultät der Rechtswissenschaften,Universitätsstraße 15,8010,+43(0)3163803160,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
TU-Graz; Institute der Fakultät für Elektrotechnik und Informationstechnik,Kopernikusgasse 24,8010,+43(0)3168737251,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
MED Institut fuer Biophysik,Harrachgasse 21/IV,8010,+43(0)3163804135,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut fuer Physiologie,Harrachgasse 21/V,8010,+43(0)3163804260,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Zellbiologie; Histologie und Embryologie,Harrachgasse 21/7,8010,+43(0)3163804230,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
Uni-Graz; Fakultät der Geisteswissenschaften,Universitätsplatz 3,8010,+43(0)3163808015,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
FH Joanneum; Media and Interaction Design,Alte Poststraße 152,8020,+43(0)31654538628,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
Kirchlich (kath.) Pädagogische Hochschule,Lange Gasse 2,8010,+43(0)316581670,Universitäten; Hoch- & Fachhochschulen,Pädagogische Hochschule
TU-Graz; Fakultät für Informatik; ICG,Inffeldgasse 16,8010,+43(0)3168735011,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
FH Joanneum; Produktionstechnik u. Organisation,Eggenberger Allee 11,8020,+43(0)31654536900,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
Uni-Graz; Institut für Schulpädagogik,Merangasse 70/II,8010,+43(0)3163802553,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
MED Institut für Biomedizinische ForschungInstitut für Biomedizinische Forschung,Roseggerweg 48,8036,+43(0)31638512524,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
KUG Institut 3 Saiteninstrumente,Brandhofgasse 21/III,8010,+43(0)3163893030,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Fakultät der Umwelt-Regional- u.Bildungswissenschaften,Merangasse 18,8010,+43(0)3163808020,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
KUG Institut 17 Elektronische Musik und Akustik,Inffeldgasse 10/III,8010,+43(0)3163893170,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
MED Institut für Pathologie,Auenbruggerplatz 25,8036,+43(0)3163804400,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
TU-Graz; Fakultät für Informatik; IGI; IST,Inffeldgasse 16b,8010,+43(0)3168735811,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
Uni-Graz; Institut für Geographie u. Raumforschung,Heinrichstraße 36,8010,+43(0)3163805135,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
FH Joanneum; Hebammen,Eggenberger Allee 13,8020,+43(0)31654536600,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Informationsdesign,Alte Poststraße 152,8020,+43(0)31654538600,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Baumanagement und Ingenieurbau,Alte Poststraße 152,8020,+43(0)31654538200,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Bauplanung und Bauwirtschaft,Alte Poststraße 152,8020,+43(0)31654538200,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
KUG Institut 1 Komposition; Musiktheorie; Musikgeschichte und Dirigieren,Brandhofgasse 21,8010,+43(0)3163893010,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Fakultät der Katholischen-Theologie,Universitätsplatz 3,8010,+43(0)3163803150,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
KUG Institut 4 Blas- und Schlaginstrumente,Brandhofgasse 21/I,8010,+43(0)3163893040,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
KUG Institut 5 Musikpädagogik,Leonhardstraße 82-84,8010,,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
KUG Institut 6 Kirchenmusik und Orgel,Bürgergasse 3/I,8010,+43(0)3163893060,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Institute der Fakultät für Katholische Theologie,Heinrichstraße 78,8010,+43(0)3163806320,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
FH Joanneum; Management internat. Geschäftsproz.,Eggenberger Allee 11,8020,+43(0)31654536800,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Health Care Engineering,Eggenberger Allee 11,8020,+43(0)31654536500,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Luftfahrt/Aviation,Alte Poststraße 149,8020,+43(0)31654536400,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
MED Institut für Molekularbiologie und Biochemie,Harrachgasse 21,8010,+43(0)3163804200,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Medizinische Informatik; Statistik und Dokumentation,Auenbruggerplatz 2,8036,+43(0)31638513201,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
TU-Graz; Institut für Geoinformation,Steyrergasse 30,8010,+43(0)3168736346,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institut für Geometrie,Kopernikusgasse 24,8010,+43(0)3168738441,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institut für Molekulare Biotechnologie,Petersgasse 14,8010,+43(0)3168734072,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institut für Papier-; Zellstoff- u. Fasertechnik,Kopernikusgasse 24/II,8010,+43(0)3168730,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
FH Joanneum; Physiotherapie,Eggenberger Allee 13,8020,+43(0)31654536540,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
MED Institut für Pflegewissenschaften,Billrothgasse 6/I,8010,+43(0)31638572064,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
KUG Institut 13 Ethnomusikologie,Leonhardstraße 15,8010,+43(0)3163893130,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Institut für Erziehungswissenschaften,Merangasse 70/2,8010,+43(0)3163802535,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
KUG Institut 10 Musiktheater,Lichtenfelsgasse 14/III,8010,,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
FH Joanneum; eHealth,Eggenberger Allee 11,8020,+43(0)31654536500,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Biomedizinische Analytik,Eggenberger Allee 13,8020,+43(0)31654536660,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
