XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1712957,43350000;5949734,01330000;26;BBA Graz;Grottenhofstraße 150;8052;Graz;+43(0)316/284269;Höhere & Berufsbildende Schulen;Humanberufliche Schule;Stadt Graz - Stadtvermessung;47,046909;15,387758
1718633,06800000;5956409,57240000;27;Werkmeisterlehrgang Maschinenbau BT WIFI;Körblergasse 111-113;8010;Graz;+43(0)316/602263;Höhere & Berufsbildende Schulen;Höhere technische - gewerbliche Lehranstalt;Stadt Graz - Stadtvermessung;47,087753;15,438744
1717729,07120000;5956395,32680000;28;BG/BRG Graz, Carnerigasse;Carnerigasse 30-32;8010;Graz;+43(0)316/683433;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,087666;15,430623
1716340,87940000;5955797,24270000;29;Modellschule Graz;Fröbelgasse 28;8020;Graz;+43(0)316/672982;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,084007;15,418153
1713892,72340000;5954429,14870000;30;HLW f. wirt.Berufe, Schulschwestern;Georgigasse 84;8020;Graz;+43(0)316/583341;Höhere & Berufsbildende Schulen;Höhere Bundeslehranstalt;Stadt Graz - Stadtvermessung;47,075638;15,396160
1718547,27660000;5955472,24220000;31;Bisch. Gymnasium, Graz;Lange Gasse 2;8010;Graz;+43(0)316/682601;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,082020;15,437973
1719923,18240000;5954184,64610000;32;BG/BRG Graz, Lichtenfelsgasse;Lichtenfelsgasse 3-5;8010;Graz;+43(0)316/321226;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,074142;15,450333
1717210,28340000;5954377,24810000;33;HBLA Schrödingerstraße;Schrödingerstraße 5;8020;Graz;+43(0)316/714802;Höhere & Berufsbildende Schulen;Höhere Bundeslehranstalt;Stadt Graz - Stadtvermessung;47,075321;15,425962
1721185,20650000;5951888,11500000;34;BRG Graz, Petersgasse;Petersgasse 110;8010;Graz;+43(0)316/463246;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,060093;15,461670
1716919,89640000;5956985,54360000;35;Lernen kann heilen helfen;Körösistraße 155;8010;Graz;+43(0)664/5354091;Höhere & Berufsbildende Schulen;Allgemein bildende höhere Schule;Stadt Graz - Stadtvermessung;47,091278;15,423354
