Grazer Straßencode;Straßenbezeichnung;Bezirk;
2343;Lenaugasse;3;
2344;Lendkai;4;
2345;Lendplatz;4;
2346;Lengheimerweg;16;
2347;Leonhardgürtel;2;
2348;Leonhardplatz;2,3;
2349;Leonhardstraße;2;
2355;Leo-Scheu-Gasse;7;
2350;Lerchengasse;14;
2351;Lessingstraße;2;
2352;Leuzenhofgasse;4;
2398;Libellenweg;8;
2381;Lichtenfelsgasse;2;
2384;Lichtensternweg;11;
2383;Lidlsdorfgasse;5;
2403;Liebenauer Gürtel;7;
2402;Liebenauer Hauptstraße;7;
2405;Liebenauer Tangente;6,7;
2399;Liebengasse;8;
2386;Liebiggasse;3;
2401;Liesganiggasse;13;
2387;Liliencrongasse;3;
2388;Lilienthalgasse;14;
2389;Limonigasse;5;
2390;Lindengasse;12;
2393;Lindenhofweg;11;
2394;Lindweg;3;
2397;Lineckerweg;11,12;
2396;Lissäckerstraße;15;
2395;Lissagasse;5;
2400;Lisztgasse;7;
2421;Löckwiesenweg;17;
2422;Lodergasse;17;
2425;Loewegasse;15;
2414;Lois-Steiner-Weg;12;
2428;Lorenz-Vest-Weg;7;
2424;Lortzinggasse;7;
2427;Löseranlage;13;
2460;Ludwig-Benedek-Gasse;16;
2461;Ludwig-Boltzmann-Gasse;17;
2459;Ludwig-Hülgerth-Gasse;16;
2462;Ludwig-Seydler-Gasse;3;
2456;Ludwig-Werba-Gasse;9;
2463;Luigi-Kasimir-Gasse;12;
2465;Lustbühelstraße;9;
2464;Luthergasse;2;
2529;Macherstraße;9,10;
2500;Maderspergergasse;14;
2503;Maggstraße;8;
2541;Mahlergasse;15;
2540;Mahrenberggasse;14;
2501;Maiffredygasse;2;
2533;Mainersbergstraße;14;
2504;Major-Hackher-Weg;1;
2505;Makartgasse;3;
2532;Mallitschweg;9;
2506;Mälzerweg;17;
2507;Mandellstraße;2;
2508;Mannagettaweg;9;
2509;Mantschastraße;15,16;
2534;Mantscha-Wald-Weg;16;
2510;Marburger Kai;1;
2511;Marburger Straße;8;
2528;Mariagrüner Hang;11;
2512;Mariagrüner Straße;11;
2513;Mariahilferplatz;4;
2514;Mariahilferstraße;4;
2535;Mariannenweg;13;
2519;Maria-Pachleitner-Straße;15;
2515;Maria-Theresia-Allee;1;
2516;Mariatroster Straße;11;
2517;Mariengasse;4;
2518;Marienplatz;4;
2539;Marktannerweg;13;
2520;Marktgasse;9;
2522;Markusgasse;17;
2523;Marschallgasse;4;
2530;Martha-Tausk-Park;3;
2524;Martingasse;5;
2536;Martinhofstraße;16;
2537;Maschwandergasse;13;
2525;Matthias-Anker-Weg;11;
2543;Matthias-Scheiner-Weg;15;
2546;Matthias-Tropper-Weg;12;
2526;Mauergasse;5;
2527;Mautgasse;3,12;
2531;Max-Kraft-Gasse;12;
2542;Max-Mell-Allee;3;
2538;Max-Reger-Gasse;13;
2502;Maygasse;6;
2552;Mehlplatz;1;
2565;Meinonggasse;10;
2560;Meisenweg;7;
2564;Melanweg;16,17;
2566;Mela-Spira-Straße;16;
2561;Mendelgasse;7;
2563;Mengerweg;12;
2553;Merangasse;2,3;
2558;Meranhofweg;10;
2554;Mesnergasse;1;
2559;Messendorfberg;8;
2574;Messendorfbergstraße;8;
2556;Messendorfer Straße;7,8;
2576;Messendorfgrund;8;
2555;Messeplatz;6;
2557;Metahofgasse;4;
2562;Mexikoweg;12;
2591;Michael-Kienreich-Straße;15;
2592;Millöckergasse;3;
2595;Mittelstraße;7;
2601;Mittergrabenweg;10,11;
2602;Mitterhofergasse;13;
2596;Mitterlingweg;17;
2598;Mitterstraße;17;
2600;Mitterwurzerweg;9;
2695;Mödlingergasse;15;
2691;Moelkweg;9;
2694;Mohnzeile;15;
2681;Mohsgasse;4;
2682;Mondscheingasse;6;
2690;Monsbergergasse;6;
2684;Montclair Allee;1;
2686;Montecuccoligasse;7;
2683;Montfortstraße;17;
2692;Moosbrunnweg;8;
2685;Morellenfeldgasse;2;
2696;Mörikestraße;15;
2687;Mosconweg;10;
2688;Moserhofgasse;6;
2693;Moserwaldweg;8;
2689;Mozartgasse;3;
2751;Muchargasse;3;
2765;Mühlfelderweg;16,17;
2752;Mühlgangweg;6;
2753;Mühlgasse;4;
2754;Mühlriegel;4;
2756;Müllergasse;7;
2766;Müller-Guttenbrunn-Weg;7;
2757;Müllerviertel;13;
2763;Münkergasse;12;
2767;Münzgrabengürtel;6;
2758;Münzgrabenstraße;6;
2759;Murfelder Straße;7;
2760;Murgasse;1;
2800;Naglergasse;2;
2805;Nansenweg;9;
2869;Negrelligasse;13;
2841;Nelkengasse;1;
2838;Nepomukgasse;12;
2842;Nernstgasse;9;
2844;Nestroystraße;14,15;
2845;Netzgasse;4;
2846;Neubaugasse;4;
2849;Neuböckweg;8;
2847;Neudorf;7;
2864;Neudorfer Straße;7;
2848;Neue Bienengasse;4;
2851;Neue Stiftingtalstraße;10;
2850;Neue Welt;1;
2852;Neue-Welt-Gasse;1;
2867;Neue-Welt-Höhe;8;
2854;Neufeldweg;6,7,8;
2855;Neugasse;12;
2858;Neuholdaugasse;6;
2859;Neulandgasse;6;
2860;Neupauerweg;15;
2861;Neuseiersberger Straße;16;
2870;Neusiedlergasse;7;
2866;Neusitzstraße;11;
2868;Neustiftweg;12;
2863;Neutorgasse;1;
2881;Nibelungengasse;2,9;
2887;Niclas-Strobl-Weg;16;
2888;Niedenausweg;16;
2882;Niesenbergergasse;5;
2883;Nikolaigasse;5;
2891;Nikolaiplatz;5;
2889;Nikolaus-Otto-Weg;7;
2884;Nikolaus-Schönbacher-Straße;15;
2886;Nippelgasse;17;
2890;Nittnergasse;16;
2920;Nordberggasse;12;
2922;Nordweg;6;
2924;Nothelferweg;14;
2923;Novalisgasse;8;
2961;Nürnbergergasse;1;
2963;Nußbaumerstraße;8;
3000;Obere Bahnstraße;6;
3005;Obere Teichstraße;9;
3002;Obere Weid;13;
3007;Oberer Auweg;17;
3006;Oberer Mühlackerweg;16,17;
3003;Oberer Plattenweg;11,12;
3011;Oberhuberweg;13;
3004;Obstgasse;2;
3041;Odilienweg;2;
3051;Oeverseegasse;5;
3066;Ökonomiegasse;4;
3067;Ölbergweg;15;
3704;Olga-Rudel-Zeynek-Gasse;16;
3091;Opernring;1;
3111;Orgeniweg;9;
3113;Orpheumgasse;4;
3114;Ortnerstraße;10;
3120;Ortweingasse;3;
3112;Ortweinplatz;6;
3125;Ostbahnstraße;7;
3132;Ostwaldgasse;4;
3135;Otto-Loewi-Gasse;8;
3139;Otto-Wagner-Weg;12;
3214;Pachernweg;8;
3200;Pachlerweg;11;
3220;Palais Trauttmansdorff-Passage;1;
3218;Pambergergasse;7;
3201;Panoramagasse;3;
3219;Panzenbeckgasse;10;
3216;Papierfabrikgasse;12;
3202;Papiermühlgasse;4;
3203;Pappenheimgasse;2;
3224;Paracelsusgasse;2;
3204;Paradeisgasse;1;
3205;Paradiesgasse;15;
3206;Parkring;1;
3207;Parkstraße;1,3;
3208;Passinigasse;17;
3227;Paula-Grogger-Weg;15;
3226;Paula-Wallisch-Straße;5;
3215;Paul-Ernst-Gasse;7;
3211;Paulinerweg;11;
3212;Paul-Keller-Gasse;8;
3209;Paulustorgasse;1;
3217;Pauluzzigasse;2;
3210;Payer-Weyprecht-Straße;5;
3241;Peballweg;10;
3229;Pecs Allee;1;
3245;Pedrettogasse;12;
3246;Pehamweg;16;
3213;Peierlhang;8;
3231;Peinlichgasse;3;
3232;Pensionsweg;11;
3255;Pertassekweg;8;
3242;Pesendorferweg;10;
3233;Pestalozzistraße;6;
3247;Peter-Leardi-Weg;16;
3234;Peter-Rosegger-Straße;5,15;
3236;Petersbachstraße;8;
3237;Petersbergenstraße;8,9;
3239;Petersgasse;2,6;
3240;Peterstalstraße;8;
3235;Peter-Tunner-Gasse;4,14;
3244;Petri Au;8;
3243;Petrifelderstraße;7,8;
3261;Pfalzgrafenweg;14;
3267;Pfanghofweg;12;
3262;Pfarrer-Schröttner-Platz;14;
3263;Pfarrgasse;14;
3268;Pfeifferhofweg;12;
3275;Pfitznergasse;15;
3264;Pflanzengasse;4;
3265;Pflastergasse;5;
3276;Pfrimerweg;15;
3294;Piccardigasse;17;
3290;Pichlergasse;7;
3292;Pirchäckerstraße;16;
3293;Pistotnikgasse;9;
3295;Pittoniweg;15;
3306;Plabutscherstraße;4,13,14;
3307;Plachelhofstraße;17;
3308;Plankengasse;6;
3315;Plappartweg;9;
3316;Plattensteig;11,12;
3310;Plattlstraße;15;
3321;Platz der Ehrenamtlichen;1;
3313;Platz der Freiwilligen Schützen;5;
3314;Platz der Menschenrechte;1;
3312;Platz der Versöhnung;1;
3317;Plickweg;12;
3311;Plüddemanngasse;2,8,9;
3319;Pointnergasse;9;
3320;Poketzgasse;14;
3326;Polstererweg;11;
3327;Polzergasse;9;
3328;Pomeranzengasse;1;
3329;Pomisgasse;6;
3330;Pommergasse;4;
3332;Popelkaring;12;
3324;Poppmeierstraße;17;
3334;Porscheweg;7;
3331;Portugallweg;16;
3333;Posenergasse;12;
3335;Posthofweg;10;
3356;Prangelgasse;14;
3357;Prankergasse;5;
3362;Pratogasse;17;
3360;Prevenhueberweg;9;
3366;Prießnitzweg;12;
3368;Primelweg;16;
3372;Prinzhoferweg;8;
3361;Prochaskagasse;12;
3373;Prof.-Franz-Spath-Ring;8;
3358;Prokesch-Osten-Gasse;5;
3359;Prokopigasse;1;
3375;Puchleitnerweg;12;
3376;Puchstraße;5,17;
3374;Pula Kai;6;
3377;Pulvermühlweg;17;
3378;Pulverturmstraße;15;
3380;Puntigamer Straße;7,17;
3382;Purbergstraße;11;
3381;Purgleitnerstraße;6,8;
3383;Puschweg;16;
3411;Quellengasse;3;
3413;Quergasse;5;
3415;Quringasse;12;
3465;Raabaweg;7,8;
3450;Raachgasse;13;
3463;Rabensteinersteig;11;
3470;Rabenweg;16;
3473;Rablhang;8;
3451;Radegunder Straße;12;
3452;Radetzkystraße;1,6;
3453;Radgasse;4;
3464;Rafensedergasse;11;
3460;Raffaltweg;9;
3455;Ragnitzstraße;2,10;
3461;Ragnitztalweg;9;
3468;Raiffeisenstraße;6,7;
3456;Raimundgasse;2;
3469;Rainleiten;12;
3466;Rainweg;7;
3457;Rankengasse;5;
3467;Rannachstraße;12;
3458;Rapoldgasse;9;
3459;Raubergasse;1;
3462;Rauchleitenstraße;10;
3526;Rebengasse;4;
3529;Rebhuhnweg;17;
3511;Rechbauerstraße;2;
3514;Reichengasse;5;
3527;Reifentalgasse;11;
3515;Reiherstadlgasse;5;
3516;Reinbacherweg;4,13,14;
3517;Reinerweg;12;
3525;Reininghausstraße;14;
3530;Reinitzerweg;12;
3528;Reintalweg;8;
3518;Reiterweg;2;
3519;Reitschulgasse;2,6;
3513;Reitweg;17;
3520;Rembrandtgasse;2,3;
3521;Remygasse;4;
3522;Resselgasse;4;
3523;Rettenbacher Straße;11;
3571;Richard-Strauss-Gasse;14;
3572;Richard-Wagner-Gasse;3;
3570;Richard-Zach-Gasse;12;
3581;Riedlerweg;16;
3579;Riedweg;7;
3573;Riegelgasse;9;
3580;Riemerweg;16;
3577;Rieshang;10;
3588;Riesplatz;10;
3574;Riesstraße;2,3,10;
3578;Rilkeweg;9;
3575;Rindscheidweg;16;
3576;Rittergasse;3;
3600;Ritter-von-Formentini-Allee;1;
3631;Robert-Fuchs-Straße;15,16;
3664;Robert-Mlekus-Weg;13;
3620;Robert-Musil-Gasse;7;
3632;Robert-Stolz-Gasse;3;
3629;Robert-Stolz-Promenade;1;
3628;Robert-Viertl-Straße;16;
3633;Rochelgasse;14;
3634;Rohrbachergasse;12;
3658;Rohrbachfeld;10;
3659;Rohrbachhöhe;10;
3635;Rohrerberg;12;
3636;Rohrerbergstraße;12;
3663;Römerweg;13;
3643;Roseggergarten;1;
3642;Roseggerkai;6;
3644;Roseggerweg;3,10,11;
3647;Rosenberggasse;3;
3648;Rosenberggürtel;3;
3651;Rosengasse;8;
3652;Rosenhain;3;
3650;Rosenhaingasse;3;
3665;Rosenhang;9;
3653;Rosenkranzgasse;5;
3661;Rosenschlößlweg;11;
3654;Roßegg;12;
3655;Rösselmühlgasse;5;
3660;Roßmanngasse;10;
3662;Rotmoosweg;12;
3656;Rottalgasse;3;
3701;Ruckerlberggasse;2,9;
3702;Ruckerlberggürtel;2;
3703;Rückertgasse;3;
3705;Rudersdorfer Straße;17;
3713;Rudersdorfer-Au-Straße;17;
3712;Rudolf-Hans-Bartsch-Straße;8;
3719;Rudolf-List-Gasse;9;
3706;Rudolfstraße;9,10;
3707;Ruinenweg;13;
3710;Rungeweg;9;
3711;Rupertweg;17;
3709;Russenweg;12;
3708;Ruthardweg;17;
3750;Sackstraße;1;
3765;Sahlaweg;5;
3751;Saitzgasse;13;
3764;Salfeldstraße;16;
3752;Salzamtsgasse;1;
3753;Sandgasse;6;
3757;Sandgrubenweg;15,16;
3763;Sanzingasse;12;
3762;Sartorigasse;10;
3770;Sattlerweg;16;
3759;Saumgasse;3,12;
3760;Sauraugasse;1;
3761;Savenauweg;9;
3839;Schäffersfeldweg;10;
3841;Schaftalberg;11;
3815;Schaftalstraße;10;
3791;Schanzelgasse;3;
3792;Schauensteingasse;9;
3793;Scheidtenbergergasse;3;
3794;Scheigergasse;6,8;
3800;Schererstraße;15;
3849;Scherweg;12;
3795;Schießstattgasse;6;
3796;Schiffgasse;5;
3797;Schillerplatz;2;
3798;Schillerstraße;2;
3802;Schippingerstraße;13;
3859;Schirmleitenstraße;12;
3803;Schirrmanngasse;12;
3804;Schleifbachgasse;4;
3805;Schleppbahngasse;12;
3806;Schlögelgasse;2;
3807;Schloßberg;1;
3808;Schloßbergplatz;1;
3809;Schlösselweg;13;
3810;Schlossergasse;1;
3811;Schloßplatz;13;
3812;Schloßstraße;14;
3813;Schmiedgasse;1;
3828;Schmiedlstraße;8;
3814;Schmölzergasse;4;
3850;Schnabelweg;16;
3857;Schoberweg;8;
3842;Schöckelbachweg;12;
3845;Schöckelstraße;12;
3816;Schönaugasse;6;
3817;Schönaugürtel;6;
3819;Schönbrunngasse;3,11;
3820;Schörgelgasse;2,6,9;
3821;Schoygasse;16;
3822;Schreibäckerweg;17;
3823;Schreinerstraße;15;
3846;Schröckingerweg;3;
3826;Schröderhofweg;5;
3824;Schrödingerstraße;4;
3843;Schrottenbachgasse;7,8;
3847;Schröttergasse;3;
3825;Schubertstraße;3;
3827;Schulgasse;9;
3831;Schumanngasse;2;
3832;Schützenhofgasse;2;
3848;Schützgasse;5;
3833;Schwarzbauerweg;11;
3834;Schwarzenberggasse;6;
3836;Schwarzer Weg;16,17;
3840;Schweinbergstraße;10;
3837;Schwimmschulkai;3;
3844;Schwindgasse;8;
3852;Sechsundzwanziger-Schützen-Gasse;5;
3851;Seebachergasse;2,3;
3853;Seidenhofstraße;14;
3854;Seiersbergstraße;16;
3858;Seminarstraße;12;
3855;Semmelweisgasse;2;
3856;Senefeldergasse;7;
3891;Siebenundvierzigergasse;5;
3892;Siedlerweg;7;
3894;Siemensgasse;2, 9;
3897;Siglweg;12;
3893;Sigmund-Freud-Gasse;9;
3895;Sigmundstadl;4;
3902;Simchengasse;12;
3898;Simonygasse;16;
3915;Sobothgasse;16;
3918;Sonnenfelsplatz;3;
3921;Sonnenstraße;2,9;
3923;Sonnleitenweg;11;
3924;Sorgerweg;9;
3961;Sparbersbachgasse;2;
3959;Sparkassenplatz;1;
3966;Speidlgasse;7;
3962;Spielbergweg;15;
3967;Spitzäckerweg;17;
3963;Spitzgasse;16;
3964;Sporgasse;1;
3965;Sportplatzgasse;13;
3969;St.-Andräplatz;5;
4053;St.-Georgen-Gasse;4;
4054;St.-Gotthard-Straße;12;
4048;St.-Johann-und-Paul;15;
4063;St.-Paulus-Platz;7;
4014;St.-Peter-Gürtel;8;
4015;St.-Peter-Hauptstraße;8;
4016;St.-Peter-Pfarrweg;8,9;
4061;St.Petersburg Allee;6;
4017;St.-Veiter-Anger;12;
4018;St.-Veiter-Straße;12;
3981;Staatsbahnstraße;5;
3978;Stadionplatz;7;
3982;Stadlgasse;5;
3983;Stadtpark;1;
3984;Stahlgasse;4;
3985;Stainzergasse;1;
4008;Stanglmühlstraße;7;
3987;Starhemberggasse;4;
3988;Stattegger Straße;12;
4055;Staudenweg;17;
4051;Staudgasse;15;
3989;Steggasse;3;
3990;Steinäckerstraße;15;
3991;Steinbergstraße;14,15;
3992;Steinbruchweg;13,14;
3993;Steinfeldgasse;5;
3995;Steingasse;13;
3996;Steingrabenweg;11;
4006;Steinkleegasse;8;
3997;Steinriegelgasse;15;
4050;Stelzhamerweg;11;
4057;Stemmerweg;16;
3998;Stempfergasse;1;
3999;Stenggstraße;11;
4052;Sternäckerweg;7,8;
4000;Sterngasse;5;
4003;Sternwirtweg;10;
4001;Sterzinggasse;15;
4002;Steyrergasse;6;
4004;Stiegengasse;1;
4056;Stiftingbachweg;10;
4049;Stiftingtalstraße;3,10;
4010;Stigergasse;4;
4011;Stockergasse;4;
4012;Stoffbauerweg;11;
4013;Storchgasse;5;
4019;Stradiotgasse;4;
4025;Stranzgasse;7;
4037;Straßengelstraße;13;
4038;Strasserhofweg;12;
4039;Straßganger Straße;14,15,16;
4041;Strassoldogasse;3;
4042;Strauchergasse;4;
4058;Stregengasse;16;
4043;Stremayrgasse;6;
4044;Strennerweg;17;
4045;Strobelbergerweg;11;
4046;Stubenberggasse;1;
4047;Sturzgasse;5;
4067;Styriastraße;8;
4071;Südbahnstraße;5;
4072;Südliches Lazarettfeld;5;
4075;Süd-Ost-Siedler-Straße;15,16;
4073;Südtiroler Platz;4,5;
4074;Suttnerweg;7;
4091;Swethgasse;2;
4092;Swikerstraße;13;
4101;Tannhofweg;11;
4131;Technikerstraße;2;
4132;Tegetthoffplatz;2;
4139;Teichäckergasse;14;
4134;Teichhof;11;
4135;Teichhofweg;11;
4136;Teuffenbachweg;16;
4166;Thaddäus-Stammel-Straße;14;
4167;Thalbachweg;13;
4175;Thalerseestraße;14;
4168;Thalstraße;13;
4170;Theodor-Körner-Straße;3;
4174;Theodor-Storm-Straße;7,8;
4176;Theyergasse;7;
4173;Thomas-Arbeiter-Gasse;8;
4195;Tiefentalweg;8;
4196;Tiergartenweg;5,17;
4210;Toeplergasse;12;
4211;Toni-Schruf-Weg;8;
4205;Töpferweg;8;
4226;Trappengasse;16;
4231;Trattenweg;6;
4227;Trattfelderstraße;16;
4228;Traungauergasse;5;
4229;Trauttmansdorffgasse;1;
4232;Trenkgasse;7;
4230;Triester Straße;5,17;
4233;Trondheimgasse;4;
4270;Tullbachweg;11;
4268;Tullhofweg;11;
4267;Tullriegel;11;
4266;Tummelplatz;1;
4291;Tyroltgasse;14;
4300;Überfuhrgasse;4;
4331;Uferweg;3;
4351;Uhlandgasse;2;
4355;Uhlirzgasse;12;
4384;Ullreichstraße;15;
4385;Ulmgasse;16;
4381;Ulrich-Lichtenstein-Gasse;6,7;
4383;Ulrichsweg;12;
4421;Ungergasse;5;
4422;Universitätsplatz;3;
4423;Universitätsstraße;3;
4424;Untere Bahnstraße;6;
4432;Untere Schirmleiten;12;
4425;Untere Schönbrunngasse;11;
4431;Untere Teichstraße;9;
4430;Unterer Auweg;17;
4426;Unterer Breitenweg;8;
4427;Unterer Bründlweg;16;
4428;Unterer Mühlweg;16;
4429;Unterer Plattenweg;11;
4481;Ursprungweg;12;
4500;Varenaweg;11;
4501;Vaterdorfstraße;7;
4521;Veilchenstraße;16;
4540;Vidmarstraße;13;
4541;Viehmarktgasse;5;
4550;Viktor-Franz-Straße;4,13;
4552;Viktor-Geramb-Weg;10;
4547;Viktor-Kaplan-Gasse;12;
4548;Viktor-Zack-Weg;12;
4542;Villefortgasse;3;
4545;Villenstraße;14;
4546;Vinzenzgasse;14;
4551;Vinzenz-Muchitsch-Straße;5;
4553;Vinzenz-Sabatky-Weg;16;
4549;Virchowgasse;7;
4572;Vogelweiderstraße;3;
4576;Volkmarweg;16;
4579;Volksgarten;4;
4573;Volksgartenstraße;4;
4574;Vorbeckgasse;5;
4575;Vorderer Plattenweg;12;
4623;Waagner-Biro-Straße;4;
4590;Wacholderweg;8;
4619;Wachtelgasse;15;
4624;Wagner-Jauregg-Platz;16;
4625;Wagner-Jauregg-Straße;16,17;
4621;Wagnesweg;11;
4602;Wagramer Weg;17;
4608;Waldertgasse;4;
4605;Waldheimatweg;12;
4604;Waldhofweg;11;
4620;Waldmüllergasse;8;
4606;Waldteufelweg;9,10;
4607;Waldweg;13;
4612;Waltendorfer Gürtel;2;
4609;Waltendorfer Hauptstraße;8,9;
4610;Waltendorfer Höhe;9;
4626;Walter-Flex-Weg;10;
4629;Walter-Goldschmidt-Gasse;8;
4631;Walter-P.-Chrysler-Platz;7;
4627;Walter-Semetkowski-Weg;9;
4613;Warnhauserweg;17;
4614;Wartingergasse;3;
4615;Wassergasse;3;
4633;Wasserwerkgasse;12;
4618;Wastiangasse;2;
4616;Wastlergasse;3;
4636;Weblinger Gürtel;16,17;
4663;Weblinger Straße;16;
4642;Weg zum Reinerkogel;3;
4643;Weg zur Einsiedelei;14;
4641;Wegenergasse;9;
4664;Weiberfelderweg;16;
4645;Weidweg;13;
4666;Weiherweg;8;
4646;Weinbergweg;13;
4647;Weingartenweg;14;
4648;Weinholdstraße;6;
4649;Weinitzenstraße;12;
4650;Weinzödl;12;
4651;Weinzöttlstraße;12;
4652;Weißeneggergasse;4;
4653;Weißenhofgasse;5;
4655;Weissenkircherstraße;14;
4654;Weißweg;17;
4656;Weixelbaumstraße;13;
4657;Weizbachweg;12;
4667;Weizenweg;16,17;
4659;Weldenstraße;1;
4662;Wenisbucher Straße;11;
4658;Wenzlhofstraße;17;
4665;Werndlweg;7;
4668;Westbahngasse;16;
4660;Westgasse;17;
4661;Wetzelsdorfer Straße;5,14,15;
4688;Wichnergasse;7;
4691;Wickenburggasse;1,3;
4707;Widmannstettergasse;15;
4714;Widowitzgasse;6;
4703;Wiednerplätzchen;1;
4692;Wielandgasse;6;
4693;Wiener Straße;4,12,13;
4694;Wiesenauergasse;15;
4695;Wiesengasse;5;
4704;Wiesingergasse;11;
4705;Wildweg;11;
4698;Wilhelm-Fischer-Allee;1;
4696;Wilhelm-Gösser-Gasse;9,10;
4699;Wilhelm-Kienzl-Gasse;3;
4700;Wilhelm-Raabe-Gasse;3;
4697;Wilhelm-Rösche-Gasse;7;
4711;Wilhelm-Thöny-Weg;15;
4713;Willi-Thaller-Straße;7;
4710;Willomitzergasse;13;
4701;Winkelgasse;6;
4706;Winterweg;12;
4708;Winzerweg;16;
4709;Wittekweg;2;
4702;Wittenbauerstraße;6,8;
4712;Wittulaweg;15;
4720;Wolkensteingasse;4;
4731;Wormgasse;3;
4771;Wurmbrandgasse;1;
4900;Zahläckerweg;16,17;
4901;Zahnstraße;17;
4902;Zanklstraße;13;
4916;Zeillergasse;4;
4919;Zelinkagasse;12;
4918;Zeppelinstraße;17;
4920;Zerlacherweg;15;
4921;Zeugamtsweg;15;
4937;Ziegelstraße;12;
4941;Ziehrerstraße;7;
4938;Ziernfeldgasse;3;
4939;Zimmerplatzgasse;6;
4940;Zinzendorfgasse;3;
4958;Zoffgasse;13;
4957;Zoisweg;7;
4956;Zollgasse;4;
4963;Zösenbergweg;12;
4971;Zusertalgasse;3;
4980;Zweierbosniakengasse;16;
4987;Zweiglgasse;5;
4988;Zwerggasse;2;
4996;Zwigottweg;16;
5005;Augartenbrücke;5,6;
5015;Augartensteg;5,6;
5006;Bertha-von-Suttner-Friedensbrücke;5,6;
5007;Eisenbahnbrücke;5,6;
5008;Gasrohrsteg;7,17;
5002;Erzherzog-Johann-Brücke;1,4,5;
5009;Kalvarienbrücke;3,4;
5001;Keplerbrücke;1,3,4;
5010;Neue Weinzödlbrücke;12,13;
5011;Pongratz-Moore-Steg;12,13;
5012;Puchsteg;7,5;
5013;Puntigamer Brücke;7,17;
5004;Radetzkybrücke;1,5,6;
5003;Tegetthoffbrücke;1,5;
