Grazer Straßencode;Straßenbezeichnung;Bezirk;
0578;Bürgergasse;1;
0582;Bürgerspitalgasse;5;
0527;Burgfriedweg;9;
0583;Burggarten;1;
0579;Burggasse;1;
0580;Burgring;1;
0600;Carlonegasse;17;
0603;Carl-Spitzweg-Gasse;8;
0601;Carnerigasse;3;
0602;Casalgasse;7;
0641;Charlottendorfgasse;3;
0649;Christophorusgrund;16;
0662;Conduzzigasse;11;
0664;Conrad-Kreuzer-Gasse;16;
0661;Conrad-von-Hötzendorf-Straße;6,7;
0663;Corneliusweg;13;
0665;Costellagasse;13;
0669;Coventrypromenade;1;
0676;Custozzagasse;5;
0704;Dahlienweg;16;
0703;Daimlerweg;7;
0700;Dammweg;8;
0705;Darmstadtgasse;4;
0701;Daungasse;4;
0702;Davidgasse;1;
0710;David-Herzog-Platz;5;
0720;Dechant-Binder-Anlage;13;
0730;Defreggergasse;5;
0731;Denggasse;8;
0732;Dennigweg;12;
0762;Dieselweg;7;
0761;Dietrichsteinplatz;2,6;
0781;Doblergasse;4;
0790;Dolezalgasse;13;
0782;Dominikanergasse;5;
0783;Dominikanerriegel;4;
0789;Don-Bosco-Weg;15;
0785;Dorfstraße;7;
0788;Dornauweg;16;
0786;Dorngasse;4;
0787;Dornschneidergasse;5;
0792;Dorothee-Sölle-Weg;5;
0854;Dr.-Anton-Schlossar-Weg;9;
0831;Dr.-Anton-Weg;16;
0832;Dr.-Bruno-Ertler-Straße;11;
0833;Dr.-Eckener-Straße;11;
0852;Dr.-Emperger-Weg;15;
0851;Dr.-Hanisch-Weg;10;
0836;Dr.-Hans-Kloepfer-Straße;14;
0835;Dr.-Hans-Spitzy-Platzl;5;
0834;Dr.-Heschl-Weg;16;
0837;Dr.-Ignaz-Scarpatetti-Straße;15;
0857;Dr.-Johannes-Ude-Gasse;12;
0838;Dr.-Kamniker-Straße;16;
0856;Dr.-Karl-Böhm-Allee;1;
0839;Dr.-Karl-Lueger-Straße;13;
0840;Dr.-Lemisch-Straße;16;
0841;Dr.-Lister-Gasse;7;
0843;Dr.-Muck-Anlage;1;
0850;Dr.-Pfaff-Gasse;8;
0855;Dr.-Plochl-Straße;6,7;
0858;Dr.-Robert-Graf-Straße;9;
0842;Dr.-Robert-Sieger-Straße;6;
0853;Dr.-Schlossar-Park;5;
0849;Dr.-Stichl-Weg;11;
0844;Dr.-Theodor-Pfeiffer-Straße;17;
0845;Dr.-Tilly-Gasse;12;
0846;Draisgasse;6;
0847;Dreierschützengasse;4;
0848;Dreihackengasse;5;
0800;Drosselweg;9;
0770;Droste-Hülshoff-Gasse;3;
0875;Dubrovnik Allee;1;
0881;Dürergasse;2;
0883;Dürrgrabenweg;12;
0911;Eckertstraße;14;
0914;Eckmichlstraße;10;
0926;Edelweißweg;10;
0922;Edisonstraße;15;
0925;Edlingerweg;9;
0923;Eduard-Keil-Gasse;7;
0924;Eduard-Richter-Gasse;2;
0941;Eggenberger Allee;14;
0942;Eggenberger Gürtel;5;
0943;Eggenberger Straße;4,5;
0945;Egger-Lienz-Weg;16;
0944;Eggwald;11;
0956;Ehlergasse;9;
0957;Ehrenfelsgasse;6;
0961;Eichäckerweg;7;
0965;Eichbachgasse;7;
0967;Eichendorffstraße;3;
0968;Eichenhaingasse;12;
0962;Eichenweg;8;
0966;Eichholzerweg;8;
0969;Eigenweg;8;
0978;Einödhofweg;8;
0970;Einödstraße;15;
0980;Einpacherweg;16;
0971;Einsiedlerweg;11;
0972;Einspinnergasse;1;
0979;Eintrachtgasse;7;
0973;Eisengasse;14;
0976;Eißlgasse;10;
0977;Eisteichgasse;8,9;
0974;Eiswerkgasse;13;
0983;Ekkehard-Hauer-Straße;15;
0986;Elisabethinergasse;5;
0987;Elisabethstraße;2,3;
0990;Elise-Steininger-Steg;1,3;
0998;Emichgasse;12;
0997;Emichplatzl;1;
0996;Emil-Ertl-Gasse;6,7,8;
1006;Enge Gasse;1;
1005;Engelbert-Rückl-Gasse;6;
1007;Engelgasse;2;
1008;Engelsdorfer Straße;7;
1012;Engerthgasse;12;
1009;Entenplatz;5;
1013;Enzianweg;16;
1016;Eppensteinerweg;14;
1031;Erdbergweg;15;
1020;Erich-Edegger-Steg;1,4;
1021;Erich-Edegger-Weg;11;
1027;Erlengasse;4;
1024;Erna-Diez-Straße;16;
1028;Ernst-Haeckel-Straße;6,8;
1026;Ernst-Moser-Weg;9;
1032;Ernst-Vogel-Weg;8;
1029;Erzherzog-Johann-Allee;1;
1030;Erzherzog-Johann-Straße;11;
1041;Eschenbachgasse;3;
1042;Eschengasse;11;
1043;Esperantoplatz;4;
1044;Esserweg;7;
1048;Etrichgasse;17;
1051;Ettingshausengasse;12;
1055;Eugenie-Schmiedl-Hain;11;
1061;Europaplatz;4;
1058;Europaratweg;1;
1065;Evangelimanngasse;6;
1071;Exerzierplatzstraße;13;
1082;Eyslergasse;17;
1081;Eythgasse;15;
1100;Fabriksgasse;5;
1103;Falkenhofgasse;5;
1104;Falkenturmgasse;17;
1112;Falkenweg;12;
1105;Färbergasse;1;
1106;Färberplatz;1;
1107;Fasangartengasse;5;
1108;Fasanstraße;15;
1109;Fasanturmweg;17;
1111;Faunastraße;15;
1129;Feldgasse;5;
1133;Feldkirchner Weg;17;
1137;Felix-Dahn-Platz;2;
1138;Fellingergasse;4;
1139;Felsensteig;1;
1143;Ferdinand-Porsche-Platz;7;
1140;Ferdinand-Prirsch-Straße;16;
1142;Ferdinand-von-Saar-Weg;8;
1141;Feuerbachgasse;5;
1161;Fichtestraße;4;
1162;Finkengasse;5;
1163;Fischeraustraße;13;
1164;Fischergasse;3;
1165;Fischerhofweg;9;
1166;Fischer-von-Erlach-Gasse;1;
1167;Fiziastraße;7;
1191;Fliedergasse;6;
1204;Floraquellweg;13;
1205;Floraweg;16;
1192;Florianibergstraße;16;
1193;Florianigasse;5;
1194;Flößerweg;17;
1195;Floßlendplatz;4;
1196;Floßlendstraße;4;
1212;Flurerweg;8;
1197;Flurgasse;6;
1225;Föderlgasse;12;
1226;Födranspergweg;3;
1229;Föllinger Straße;11;
1231;Fontanestraße;15;
1232;Forstergasse;15;
1230;Forstweg;12;
1228;Fosselgasse;10;
1251;Frachtengasse;17;
1252;Franckstraße;3;
1254;Frankensteingasse;10;
1253;Franz-Graf-Allee;1;
1248;Franz-Herzog-Weg;11;
1255;Franziskanergasse;1;
1256;Franziskanerplatz;1;
1241;Franz-Nabl-Weg;9;
1249;Franz-Pratter-Straße;14;
1257;Franz-Riepl-Gasse;5;
1250;Franz-Schmidt-Weg;12;
1259;Franz-Steiner-Gasse;14;
1260;Franz-Werfel-Gasse;12;
1261;Frauengasse;1;
1262;Fraungruberstraße;11;
1263;Freiheitsplatz;1;
1264;Freihofanger;11;
1281;Friaulweg;8,9;
1265;Friedensgasse;2;
1283;Friedenspark;4;
1266;Friedhofgasse;5;
1267;Friedmanngasse;7;
1268;Friedrichgasse;6;
1279;Friedrich-Gauermann-Weg;8;
1269;Friedrich-Hebbel-Gasse;2;
1270;Friedrich-Kaulbach-Straße;6;
1278;Friedrich-Schnideritsch-Straße;16;
1280;Friedrich-von-Gagern-Allee;1;
1282;Frischaufweg;12;
1271;Fritz-Pregl-Weg;3;
1272;Fröbelgasse;4;
1273;Fröhlichgasse;6;
1277;Froschaugasse;6;
1274;Frühlingstraße;15;
1276;Fruhmannweg;8;
1292;Fuchsenfeldweg;7;
1286;Fuchsgrube;17;
1291;Fuchsriegelweg;10;
1289;Fürstenstandweg;13;
1290;Fürstenwarteweg;14;
1296;Fyrtagweg;11;
1300;Gabelsbergerstraße;4;
1301;Gabriachgasse;12;
1302;Gabriel-Seidl-Gasse;2;
1307;Gadollaweg;17;
1318;Gaisbacherweg;17;
1303;Gaisbergweg;14;
1304;Gallmeyergasse;14,15;
1305;Ganghoferstraße;8;
1306;Gartengasse;2;
1309;Gartenstadtstraße;6;
1311;Gärtnerstraße;13;
1312;Gaslaternenweg;7;
1313;Gasometerweg;17;
1314;Gaswerkstraße;14;
1315;Gaußgasse;2;
1331;Gebhardgasse;17;
1341;Geibelgasse;8;
1332;Geidorfgürtel;3;
1333;Geidorfplatz;3;
1338;Geißlergasse;12;
1343;Geistingerweg;16;
1339;Gellertgasse;8;
1346;Gemeindepark Eggenberg;14;
1334;Genossenschaftsweg;6;
1344;Georg-Gaß-Weg;7;
1336;Georgigasse;14;
1337;Georgiplatz;14;
1340;Gerhart-Hauptmann-Gasse;8;
1342;Gerstnergasse;12;
1356;Ghegagasse;4;
1359;Ginzkeygasse;12;
1366;Girardigasse;1;
1396;Glacisstraße;1,2,3;
1401;Glaserweg;16;
1397;Glasfabrikstraße;4,14;
1398;Gleisdorfer Gasse;1,2;
1404;Gleispachgasse;12;
1403;Glesingerstraße;16;
1399;Glockenspielplatz;1;
1400;Gluckgasse;8;
1416;Gmeinstraße;17;
1423;Goethestraße;3;
1433;Goldrutenweg;17;
1431;Gollweg;15;
1440;Gorbachplatz;1;
1427;Göstinger Straße;13,14;
1429;Gottlieb-Remschmidt-Gasse;12;
1430;Gottschedgasse;8;
1428;Gottscheer Straße;11;
1462;Grabbegasse;8;
1446;Grabengürtel;3;
1447;Grabenhofenweg;3;
1448;Grabenstraße;3,12;
1478;Gradlbauerweg;16;
1450;Gradnerstraße;16,17;
1451;Grafenbergstraße;13;
1449;Grafenhofweg;11;
1453;Grafensteingasse;16;
1452;Granatengasse;5;
1454;Grasbergerstraße;14;
1456;Grasweg;5;
1457;Grazbachgasse;6;
1459;Grazer Straße;12;
1458;Grazerfeldstraße;15;
1471;Greifenweg;16;
1461;Grenadiergasse;5;
1464;Grenzgasse;17;
1463;Grevenberggasse;15,16;
1466;Griesgasse;5;
1467;Grieskai;5;
1468;Griesplatz;5;
1469;Grillparzerstraße;3;
1472;Grillweg;16;
1473;Grimmgasse;4;
1479;Gritzenkogel;14,15;
1474;Gritzenweg;14;
1496;Groningenplatz;1;
1480;Großgrabenweg;10;
1491;Großmarktstraße;5;
1475;Grottenhofstraße;15;
1481;Gruber-Mohr-Weg;8;
1476;Grundäckergasse;17;
1488;Grundfelderweg;16;
1489;Grundwiesenweg;16;
1477;Grüne Gasse;4;
1483;Gstirnergasse;10;
1482;Gsundhofweg;8;
1484;Guldinweg;16,17;
1485;Gürtelturmplatz;5;
1486;Gustav-Hofer-Weg;11;
1494;Gustav-Klimt-Weg;12;
1498;Gustav-Scherbaum-Promenade;3,12;
1487;Gutenbergstraße;15;
1500;Haaräckerstraße;15;
1548;Haberlandtweg;12;
1502;Hackhergasse;4;
1503;Hackhofergasse;16;
1509;Haferfeldweg;16;
1504;Hafnerriegel;6;
1547;Hafnerstraße;16,17;
1538;Hagengasse;14;
1505;Hahnhofweg;10;
1542;Haidegger Weg;11;
1543;Haignitzhofweg;11;
1506;Halbärthgasse;3;
1507;Hallerschloßstraße;2,9;
1553;Halmweg;16;
1508;Hamerlinggasse;1;
1510;Hammer-Purgstall-Gasse;5;
1512;Handelstraße;14;
1513;Händelstraße;6,8;
1514;Hangweg;14;
1521;Hanns-Koren-Ring;16;
1550;Hans-Auer-Gasse;12;
1557;Hans-Brandstetter-Gasse;2;
1558;Hans-Dolf-Weg;8;
1515;Hans-Friz-Weg;3,11;
1516;Hans-Groß-Gasse;5,17;
1559;Hans-Hegenbarth-Allee;16;
1523;Hans-List-Platz;4;
1556;Hans-Mauracher-Straße;11;
1586;Hans-Pascher-Weg;14;
1517;Hans-Resel-Gasse;4;
1519;Hans-Riehl-Gasse;11;
1518;Hans-Sachs-Gasse;1;
1551;Hans-von-der-Sann-Gasse;12;
1552;Hanuschgasse;4;
1555;Hanuschplatz;14;
1520;Harmsdorfgasse;6,8;
1525;Harrachgasse;3;
1544;Harrerweg;11;
1522;Hartenaugasse;2,3;
1524;Harter Straße;15,16;
1539;Hartfelderweg;15,16;
1526;Hartiggasse;1;
1528;Haselweg;6;
1530;Hasnerplatz;3;
1541;Hauberrissergasse;9;
1560;Hauckweg;8;
1545;Hauensteinweg;11;
1546;Hauersteig;11;
1549;Hauffgasse;8;
1533;Hauptplatz;1;
1554;Hauseggerstraße;14;
1536;Hauslabgasse;2;
1537;Haydngasse;2;
1583;Heckenweg;6;
1588;Hedwig-Katschinka-Straße;5;
1585;Heidentrattenweg;17;
1576;Heilingergasse;16;
1584;Heimgartenweg;4,14;
1563;Heimweg;15,16;
1564;Heinrich-Casper-Gasse;3;
1566;Heinrich-Heine-Straße;14;
1567;Heinrichstraße;3;
