Graz insgesamt,249.089,2.836,3.024,3.289,3.390,3.194,3.189,3.311,3.301,3.263,3.033,2.871,2.828,2.678,2.663,2.631,2.673,2.667,2.685,2.840,3.044,3.531,3.981,4.411,4.484,4.654,3.330,4.327,4.668,4.398,4.765,4.644,4.851,3.429,2.555,2.388,2.331,2.401,2.368,2.529,2.662,2.824,2.803,2.892,2.995,3.032,3.171,3.342,3.466,3.662,3.686,3.626,3.342,2.361,1.917,2.123,2.278,3.262,3.352,3.544,3.360,3.403,3.417,3.240,3.099,2.919,3.039,3.013,2.796,2.829,2.698,2.438,2.383,2.343,2.050,1.972,1.700,1.676,1.624,1.331,1.271,1.058,995,916,825,621,506,429,344,272,218,147,117,69,56,48,72
60101 012 (GRAZ )<60101 012>,450,4,5,4,6,2,4,4,3,3,6,4,4,3,5,4,6,3,4,2,3,12,8,12,9,12,5,8,15,12,9,6,7,4,4,10,3,5,2,2,2,1,4,1,2,3,2,2,6,5,4,8,6,4,5,1,7,11,8,7,6,9,8,9,4,3,4,4,11,6,7,5,9,6,1,7,6,4,3,4,3,1,5,1,-,3,1,-,-,1,4,-,1,-,1,-,-
60101 013 (GRAZ )<60101 013>,991,7,7,13,7,4,11,4,7,8,7,6,3,8,9,6,6,10,5,10,13,13,21,27,25,22,16,17,20,18,15,19,13,13,12,8,6,8,7,2,14,7,10,3,13,13,10,11,16,11,12,15,10,8,13,7,14,14,15,14,24,21,12,18,15,9,18,7,15,14,17,17,19,14,8,11,15,5,7,9,10,10,5,3,4,9,3,3,1,3,1,-,-,1,-,-,-
60101 014 (GRAZ )<60101 014>,1.604,21,14,19,25,16,14,22,17,8,16,16,10,16,11,10,11,18,22,16,21,19,26,30,25,34,24,33,35,40,36,32,17,16,18,13,11,18,12,12,11,8,16,13,14,17,15,23,19,25,26,18,23,7,16,8,17,21,19,28,20,25,19,27,20,22,19,22,20,22,25,21,22,18,18,18,18,12,15,15,9,16,5,6,6,10,12,3,5,4,3,3,3,1,-,1,1
60101 015 (GRAZ )<60101 015>,1.187,12,15,21,10,8,11,17,9,9,9,8,11,8,9,8,13,8,11,6,13,25,19,33,32,31,25,27,29,23,22,25,33,14,8,11,8,10,10,11,10,9,7,8,7,11,9,13,14,13,12,18,16,11,9,8,17,16,26,16,14,18,20,14,12,14,17,18,13,21,16,17,16,9,6,13,8,13,17,7,6,4,3,-,5,5,4,3,3,6,1,-,1,1,-,-,-
60101 016 (GRAZ )<60101 016>,632,7,6,8,6,8,8,9,5,7,5,6,5,6,5,4,5,9,7,5,10,11,13,10,8,13,7,15,10,14,11,12,12,12,6,6,4,3,4,5,5,8,5,3,5,8,6,11,7,5,4,10,10,3,5,7,2,11,6,11,16,11,12,6,10,9,12,7,10,11,4,5,11,8,4,6,6,6,11,5,3,5,2,4,2,3,2,1,-,-,-,-,1,-,-,-,-
60101 020 (GRAZ )<60101 020>,1.498,19,16,19,20,8,8,11,11,10,17,13,16,9,12,13,12,9,19,5,19,26,27,28,33,35,29,45,38,34,32,34,23,20,11,14,7,9,10,12,10,16,21,15,13,13,17,22,28,16,28,13,28,19,24,13,15,19,20,19,21,25,21,23,13,17,22,21,20,23,9,19,11,12,16,14,14,11,15,11,12,3,7,3,5,3,8,5,2,3,4,2,-,-,-,-,1
60101 021 (GRAZ )<60101 021>,678,4,6,6,7,4,1,2,6,4,7,8,6,8,12,4,1,5,5,3,10,4,16,11,12,12,11,14,13,15,19,13,12,8,10,6,6,5,7,6,3,5,3,9,7,4,9,5,11,8,12,9,12,5,5,5,7,13,11,7,7,11,9,9,12,12,9,5,11,11,12,16,12,4,11,10,5,9,10,6,4,3,1,4,5,3,1,3,-,-,2,2,-,-,-,-,-
60101 022 (GRAZ )<60101 022>,629,5,8,5,2,3,4,6,5,3,4,6,5,6,5,6,7,4,3,6,13,9,11,12,15,15,17,7,15,19,8,14,11,5,5,7,6,5,4,7,10,4,4,7,5,8,7,6,6,7,4,6,13,7,2,9,5,10,8,19,13,10,12,10,5,5,6,10,11,7,14,9,6,5,4,3,5,7,7,9,3,6,3,3,-,3,2,2,1,-,-,1,1,-,-,-,1
60101 023 (GRAZ )<60101 023>,708,4,7,9,8,5,4,4,11,9,3,7,5,6,8,3,3,2,4,7,12,8,13,15,14,11,10,12,20,16,24,14,15,9,12,6,4,7,3,10,7,5,7,5,11,5,8,11,7,13,4,9,10,5,8,8,6,9,14,11,14,9,10,12,11,9,11,10,14,12,7,6,9,5,8,5,2,5,3,8,3,2,4,3,9,4,4,-,2,-,-,-,-,-,-,-,-
60101 024 (GRAZ )<60101 024>,1.315,15,17,17,15,15,9,13,15,12,5,16,8,7,10,12,11,14,3,9,15,15,26,27,22,31,25,21,29,22,30,27,28,18,9,7,10,9,4,13,5,11,16,10,11,5,15,11,15,21,22,7,33,10,8,10,8,12,22,27,19,22,25,23,14,14,24,16,21,18,14,23,20,14,18,14,15,12,13,10,8,12,12,9,8,5,3,3,2,3,4,4,-,-,-,3,-
60101 025 (GRAZ )<60101 025>,506,2,8,9,9,7,6,4,7,5,6,1,5,2,1,2,2,2,4,2,4,11,7,12,7,13,4,7,12,7,7,9,10,4,4,6,4,3,2,3,3,4,7,5,7,2,5,13,9,9,6,11,6,6,1,9,5,7,8,7,10,11,8,8,4,5,4,3,8,4,11,12,7,7,5,7,5,6,5,2,3,4,4,2,5,2,1,-,3,-,-,-,-,-,-,-,-
60101 026 (GRAZ )<60101 026>,1.854,25,20,24,18,13,16,23,18,20,13,11,14,14,11,11,18,15,14,14,14,16,11,32,29,35,29,30,34,37,33,31,46,17,17,6,7,16,13,13,17,8,21,11,15,16,16,24,28,28,31,27,18,20,19,22,13,27,32,44,31,35,38,34,25,25,33,20,27,23,31,21,36,29,21,24,23,17,23,18,15,12,18,15,8,7,9,3,6,3,1,5,1,-,1,-,1
60101 027 (GRAZ )<60101 027>,1.711,12,15,10,17,13,22,16,7,16,17,11,12,15,20,16,21,18,20,18,20,19,22,24,30,37,26,39,34,32,35,23,27,20,25,15,10,19,8,13,19,14,16,16,16,22,27,30,26,40,20,35,26,28,13,22,23,38,26,34,25,27,30,20,25,36,22,20,25,17,20,18,17,17,18,8,17,14,10,7,17,13,5,4,5,-,3,2,1,1,1,-,-,-,-,-,1
60101 030 (GRAZ )<60101 030>,441,4,6,6,4,4,2,3,5,5,2,4,5,3,4,3,3,1,7,6,3,7,3,6,9,7,5,7,6,7,10,9,9,6,4,3,4,4,5,5,5,6,3,6,4,1,4,-,8,6,6,7,7,2,7,3,6,5,8,4,10,12,11,4,6,8,7,14,10,3,4,4,3,3,4,4,6,5,6,4,8,1,-,2,4,-,2,-,-,-,1,-,-,-,-,1,-
60101 031 (GRAZ )<60101 031>,652,18,17,18,17,12,19,9,9,10,8,8,2,8,6,3,5,6,2,5,4,3,5,9,14,6,5,20,24,30,26,29,35,16,15,18,9,3,4,11,5,8,6,9,5,5,9,7,4,5,6,8,6,1,3,5,5,5,3,4,4,5,6,4,3,6,10,4,2,6,2,3,3,1,1,2,1,-,2,1,2,3,1,-,-,-,-,1,-,-,1,-,-,-,-,1,-
60101 040 (GRAZ )<60101 040>,578,9,5,7,4,3,2,7,8,6,3,7,5,9,6,4,14,2,7,5,5,5,10,11,7,17,9,12,8,17,7,8,11,4,4,7,4,6,6,6,6,5,9,8,5,6,8,3,9,14,9,5,10,10,2,8,2,3,4,5,9,6,12,8,8,6,5,13,10,9,6,3,9,7,3,8,6,2,8,7,5,2,4,1,2,1,1,4,-,-,2,-,3,-,-,-,-
60101 041 (GRAZ )<60101 041>,891,6,9,9,4,11,9,12,13,13,16,13,16,16,16,12,9,10,11,14,8,8,16,12,15,14,15,9,15,11,20,17,21,13,8,5,11,16,10,12,9,13,6,10,8,5,9,14,21,14,13,14,17,7,3,7,11,6,9,13,14,10,13,15,7,10,14,15,14,7,8,13,8,4,11,6,5,6,3,4,3,2,2,1,3,2,2,3,2,-,-,-,-,-,-,-,-
