wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
NR2017;400;Lend;ÖVP;Österreichische Volkspartei;2;10336;76;10260;2029;26
NR2017;400;Lend;FPÖ;Freiheitliche Partei Österreichs;3;10336;76;10260;2435;26
NR2017;400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;10336;76;10260;632;26
NR2017;400;Lend;NEOS;NEOS - Das Neue Österreich;6;10336;76;10260;584;26
NR2017;400;Lend;KPÖ;Kommunistische Partei Österreichs;7;10336;76;10260;397;26
NR2017;400;Lend;GILT;Liste Roland Düringer - Meine Stimme GILT;8;10336;76;10260;99;26
NR2017;400;Lend;PILZ;Liste Peter Pilz;9;10336;76;10260;691;26
NR2017;400;Lend;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;10336;76;10260;19;26
NR2017;400;Lend;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;10336;76;10260;17;26
NR2017;500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;1;7777;61;7716;2398;24
NR2017;500;Gries;ÖVP;Österreichische Volkspartei;2;7777;61;7716;1394;24
NR2017;500;Gries;FPÖ;Freiheitliche Partei Österreichs;3;7777;61;7716;2043;24
NR2017;500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;4;7777;61;7716;465;24
NR2017;500;Gries;NEOS;NEOS - Das Neue Österreich;6;7777;61;7716;415;24
NR2017;500;Gries;KPÖ;Kommunistische Partei Österreichs;7;7777;61;7716;383;24
NR2017;500;Gries;GILT;Liste Roland Düringer - Meine Stimme GILT;8;7777;61;7716;59;24
NR2017;500;Gries;PILZ;Liste Peter Pilz;9;7777;61;7716;537;24
NR2017;500;Gries;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;7777;61;7716;15;24
NR2017;500;Gries;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;7777;61;7716;7;24
NR2017;600;Jakomini;SPÖ;Sozialdemokratische Partei Österreichs;1;12858;102;12756;3898;31
NR2017;600;Jakomini;ÖVP;Österreichische Volkspartei;2;12858;102;12756;2685;31
NR2017;600;Jakomini;FPÖ;Freiheitliche Partei Österreichs;3;12858;102;12756;2484;31
NR2017;600;Jakomini;GRÜNE;Die Grünen - Die Grüne Alternative;4;12858;102;12756;837;31
NR2017;600;Jakomini;NEOS;NEOS - Das Neue Österreich;6;12858;102;12756;1058;31
NR2017;600;Jakomini;KPÖ;Kommunistische Partei Österreichs;7;12858;102;12756;494;31
NR2017;600;Jakomini;GILT;Liste Roland Düringer - Meine Stimme GILT;8;12858;102;12756;148;31
NR2017;600;Jakomini;PILZ;Liste Peter Pilz;9;12858;102;12756;1117;31
NR2017;600;Jakomini;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;12858;102;12756;16;31
NR2017;600;Jakomini;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;12858;102;12756;19;31
NR2017;700;Liebenau;SPÖ;Sozialdemokratische Partei Österreichs;1;6461;35;6426;1703;14
NR2017;700;Liebenau;ÖVP;Österreichische Volkspartei;2;6461;35;6426;1779;14
NR2017;700;Liebenau;FPÖ;Freiheitliche Partei Österreichs;3;6461;35;6426;1872;14
NR2017;700;Liebenau;GRÜNE;Die Grünen - Die Grüne Alternative;4;6461;35;6426;206;14
NR2017;700;Liebenau;NEOS;NEOS - Das Neue Österreich;6;6461;35;6426;403;14
NR2017;700;Liebenau;KPÖ;Kommunistische Partei Österreichs;7;6461;35;6426;102;14
NR2017;700;Liebenau;GILT;Liste Roland Düringer - Meine Stimme GILT;8;6461;35;6426;56;14
NR2017;700;Liebenau;PILZ;Liste Peter Pilz;9;6461;35;6426;286;14
NR2017;700;Liebenau;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;6461;35;6426;11;14
NR2017;700;Liebenau;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;6461;35;6426;8;14
NR2017;800;St.Peter;SPÖ;Sozialdemokratische Partei Österreichs;1;8277;38;8239;2047;16
NR2017;800;St.Peter;ÖVP;Österreichische Volkspartei;2;8277;38;8239;2677;16
NR2017;800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;3;8277;38;8239;1338;16
NR2017;800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;4;8277;38;8239;561;16
NR2017;800;St.Peter;NEOS;NEOS - Das Neue Österreich;6;8277;38;8239;792;16
NR2017;800;St.Peter;KPÖ;Kommunistische Partei Österreichs;7;8277;38;8239;103;16
NR2017;800;St.Peter;GILT;Liste Roland Düringer - Meine Stimme GILT;8;8277;38;8239;68;16
NR2017;800;St.Peter;PILZ;Liste Peter Pilz;9;8277;38;8239;640;16
NR2017;800;St.Peter;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;8277;38;8239;8;16
NR2017;800;St.Peter;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;8277;38;8239;5;16
NR2017;900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;1;6132;29;6103;1384;13
NR2017;900;Waltendorf;ÖVP;Österreichische Volkspartei;2;6132;29;6103;2124;13
NR2017;900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;3;6132;29;6103;890;13
NR2017;900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;6132;29;6103;358;13
NR2017;900;Waltendorf;NEOS;NEOS - Das Neue Österreich;6;6132;29;6103;700;13
NR2017;900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;7;6132;29;6103;124;13
NR2017;900;Waltendorf;GILT;Liste Roland Düringer - Meine Stimme GILT;8;6132;29;6103;52;13
NR2017;900;Waltendorf;PILZ;Liste Peter Pilz;9;6132;29;6103;461;13
NR2017;900;Waltendorf;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;6132;29;6103;3;13
NR2017;900;Waltendorf;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;6132;29;6103;7;13
NR2017;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;1;2911;11;2900;689;7
NR2017;1000;Ries;ÖVP;Österreichische Volkspartei;2;2911;11;2900;943;7
NR2017;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;3;2911;11;2900;490;7
NR2017;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;4;2911;11;2900;178;7
NR2017;1000;Ries;NEOS;NEOS - Das Neue Österreich;6;2911;11;2900;282;7
NR2017;1000;Ries;KPÖ;Kommunistische Partei Österreichs;7;2911;11;2900;36;7
NR2017;1000;Ries;GILT;Liste Roland Düringer - Meine Stimme GILT;8;2911;11;2900;25;7
NR2017;1000;Ries;PILZ;Liste Peter Pilz;9;2911;11;2900;250;7
NR2017;1000;Ries;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;2911;11;2900;2;7
NR2017;1000;Ries;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;2911;11;2900;5;7
NR2017;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;1;4719;13;4706;976;9
NR2017;1100;Mariatrost;ÖVP;Österreichische Volkspartei;2;4719;13;4706;1732;9
NR2017;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;3;4719;13;4706;657;9
NR2017;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;4;4719;13;4706;286;9
NR2017;1100;Mariatrost;NEOS;NEOS - Das Neue Österreich;6;4719;13;4706;564;9
NR2017;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;7;4719;13;4706;89;9
NR2017;1100;Mariatrost;GILT;Liste Roland Düringer - Meine Stimme GILT;8;4719;13;4706;36;9
NR2017;1100;Mariatrost;PILZ;Liste Peter Pilz;9;4719;13;4706;359;9
NR2017;1100;Mariatrost;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;4719;13;4706;5;9
NR2017;1100;Mariatrost;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;4719;13;4706;2;9
NR2017;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;1;9875;51;9824;2534;19
NR2017;1200;Andritz;ÖVP;Österreichische Volkspartei;2;9875;51;9824;3076;19
NR2017;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;3;9875;51;9824;1841;19
NR2017;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;4;9875;51;9824;554;19
NR2017;1200;Andritz;NEOS;NEOS - Das Neue Österreich;6;9875;51;9824;904;19
NR2017;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;7;9875;51;9824;161;19
NR2017;1200;Andritz;GILT;Liste Roland Düringer - Meine Stimme GILT;8;9875;51;9824;89;19
NR2017;1200;Andritz;PILZ;Liste Peter Pilz;9;9875;51;9824;649;19
NR2017;1200;Andritz;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;9875;51;9824;6;19
NR2017;1200;Andritz;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;9875;51;9824;10;19
NR2017;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;1;4436;27;4409;1181;12
NR2017;1300;Gösting;ÖVP;Österreichische Volkspartei;2;4436;27;4409;1129;12
NR2017;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;3;4436;27;4409;1297;12
NR2017;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;4;4436;27;4409;192;12
NR2017;1300;Gösting;NEOS;NEOS - Das Neue Österreich;6;4436;27;4409;237;12
NR2017;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;7;4436;27;4409;85;12
NR2017;1300;Gösting;GILT;Liste Roland Düringer - Meine Stimme GILT;8;4436;27;4409;39;12
NR2017;1300;Gösting;PILZ;Liste Peter Pilz;9;4436;27;4409;236;12
NR2017;1300;Gösting;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;4436;27;4409;6;12
NR2017;1300;Gösting;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;4436;27;4409;7;12
NR2017;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;1;8369;49;8320;2376;19
NR2017;1400;Eggenberg;ÖVP;Österreichische Volkspartei;2;8369;49;8320;2028;19
NR2017;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;3;8369;49;8320;2147;19
NR2017;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;4;8369;49;8320;382;19
NR2017;1400;Eggenberg;NEOS;NEOS - Das Neue Österreich;6;8369;49;8320;565;19
NR2017;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;7;8369;49;8320;188;19
NR2017;1400;Eggenberg;GILT;Liste Roland Düringer - Meine Stimme GILT;8;8369;49;8320;69;19
NR2017;1400;Eggenberg;PILZ;Liste Peter Pilz;9;8369;49;8320;538;19
NR2017;1400;Eggenberg;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;8369;49;8320;16;19
NR2017;1400;Eggenberg;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;8369;49;8320;11;19
NR2017;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;1;7207;50;7157;2061;16
NR2017;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;2;7207;50;7157;1799;16
NR2017;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;3;7207;50;7157;2151;16
NR2017;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;7207;50;7157;279;16
NR2017;1500;Wetzelsdorf;NEOS;NEOS - Das Neue Österreich;6;7207;50;7157;334;16
NR2017;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;7;7207;50;7157;159;16
NR2017;1500;Wetzelsdorf;GILT;Liste Roland Düringer - Meine Stimme GILT;8;7207;50;7157;59;16
NR2017;1500;Wetzelsdorf;PILZ;Liste Peter Pilz;9;7207;50;7157;293;16
NR2017;1500;Wetzelsdorf;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;7207;50;7157;8;16
NR2017;1500;Wetzelsdorf;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;7207;50;7157;14;16
NR2017;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;1;7382;39;7343;1975;14
NR2017;1600;Straßgang;ÖVP;Österreichische Volkspartei;2;7382;39;7343;1948;14
NR2017;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;3;7382;39;7343;2139;14
NR2017;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;4;7382;39;7343;263;14
NR2017;1600;Straßgang;NEOS;NEOS - Das Neue Österreich;6;7382;39;7343;435;14
NR2017;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;7;7382;39;7343;132;14
NR2017;1600;Straßgang;GILT;Liste Roland Düringer - Meine Stimme GILT;8;7382;39;7343;62;14
NR2017;1600;Straßgang;PILZ;Liste Peter Pilz;9;7382;39;7343;363;14
NR2017;1600;Straßgang;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;7382;39;7343;16;14
NR2017;1600;Straßgang;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;7382;39;7343;10;14
NR2017;1700;Puntigam;SPÖ;Sozialdemokratische Partei Österreichs;1;3684;23;3661;942;7
NR2017;1700;Puntigam;ÖVP;Österreichische Volkspartei;2;3684;23;3661;940;7
NR2017;1700;Puntigam;FPÖ;Freiheitliche Partei Österreichs;3;3684;23;3661;1178;7
NR2017;1700;Puntigam;GRÜNE;Die Grünen - Die Grüne Alternative;4;3684;23;3661;95;7
NR2017;1700;Puntigam;NEOS;NEOS - Das Neue Österreich;6;3684;23;3661;219;7
NR2017;1700;Puntigam;KPÖ;Kommunistische Partei Österreichs;7;3684;23;3661;81;7
NR2017;1700;Puntigam;GILT;Liste Roland Düringer - Meine Stimme GILT;8;3684;23;3661;35;7
NR2017;1700;Puntigam;PILZ;Liste Peter Pilz;9;3684;23;3661;162;7
NR2017;1700;Puntigam;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;3684;23;3661;5;7
NR2017;1700;Puntigam;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;3684;23;3661;4;7
