wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
NR2017;100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;1;1617;9;1608;425;4
NR2017;100;Innere Stadt;ÖVP;Österreichische Volkspartei;2;1617;9;1608;440;4
NR2017;100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;3;1617;9;1608;200;4
NR2017;100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1617;9;1608;121;4
NR2017;100;Innere Stadt;NEOS;NEOS - Das Neue Österreich;6;1617;9;1608;171;4
NR2017;100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;7;1617;9;1608;62;4
NR2017;100;Innere Stadt;GILT;Liste Roland Düringer - Meine Stimme GILT;8;1617;9;1608;18;4
NR2017;100;Innere Stadt;PILZ;Liste Peter Pilz;9;1617;9;1608;165;4
NR2017;100;Innere Stadt;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;1617;9;1608;3;4
NR2017;100;Innere Stadt;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;1617;9;1608;3;4
NR2017;200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;1;7114;42;7072;2020;15
NR2017;200;St Leonhard;ÖVP;Österreichische Volkspartei;2;7114;42;7072;1728;15
NR2017;200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;3;7114;42;7072;793;15
NR2017;200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;7114;42;7072;633;15
NR2017;200;St Leonhard;NEOS;NEOS - Das Neue Österreich;6;7114;42;7072;823;15
NR2017;200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;7;7114;42;7072;258;15
NR2017;200;St Leonhard;GILT;Liste Roland Düringer - Meine Stimme GILT;8;7114;42;7072;77;15
NR2017;200;St Leonhard;PILZ;Liste Peter Pilz;9;7114;42;7072;725;15
NR2017;200;St Leonhard;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;7114;42;7072;6;15
NR2017;200;St Leonhard;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;7114;42;7072;9;15
NR2017;300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;1;11220;49;11171;3050;24
NR2017;300;Geidorf;ÖVP;Österreichische Volkspartei;2;11220;49;11171;3196;24
NR2017;300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;3;11220;49;11171;1306;24
NR2017;300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;11220;49;11171;890;24
NR2017;300;Geidorf;NEOS;NEOS - Das Neue Österreich;6;11220;49;11171;1277;24
NR2017;300;Geidorf;KPÖ;Kommunistische Partei Österreichs;7;11220;49;11171;291;24
NR2017;300;Geidorf;GILT;Liste Roland Düringer - Meine Stimme GILT;8;11220;49;11171;105;24
NR2017;300;Geidorf;PILZ;Liste Peter Pilz;9;11220;49;11171;1035;24
NR2017;300;Geidorf;FLÖ;Freie Liste Österreich & FPS Liste Dr. Karl Schnell;10;11220;49;11171;11;24
NR2017;300;Geidorf;WEIßE;Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung.;11;11220;49;11171;10;24
NR2017;400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;1;10336;76;10260;3357;26
