wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
NR2019;101;805;453;352
NR2019;102;667;360;307
NR2019;103;618;313;305
NR2019;104;654;326;328
NR2019;201;911;434;477
NR2019;202;856;412;444
NR2019;203;652;310;342
NR2019;204;680;315;365
NR2019;205;643;310;333
NR2019;206;767;385;382
NR2019;207;720;316;404
NR2019;208;701;340;361
NR2019;209;761;343;418
NR2019;210;705;358;347
NR2019;211;787;383;404
NR2019;212;739;372;367
NR2019;213;737;357;380
NR2019;214;870;396;474
NR2019;215;1024;436;588
NR2019;301;710;363;347
NR2019;302;586;283;303
NR2019;303;706;358;348
NR2019;304;740;345;395
NR2019;305;775;314;461
NR2019;306;766;342;424
NR2019;307;784;352;432
NR2019;308;706;333;373
NR2019;309;667;316;351
NR2019;310;774;375;399
NR2019;311;793;371;422
NR2019;312;672;294;378
NR2019;313;843;390;453
NR2019;314;941;433;508
NR2019;315;933;446;487
NR2019;316;744;336;408
NR2019;317;1023;443;580
NR2019;318;610;265;345
NR2019;319;906;441;465
NR2019;320;656;295;361
NR2019;321;829;370;459
NR2019;322;544;252;292
NR2019;323;849;386;463
NR2019;324;786;349;437
NR2019;401;607;314;293
NR2019;402;603;294;309
NR2019;403;529;260;269
NR2019;404;998;452;546
NR2019;405;490;238;252
NR2019;406;788;400;388
NR2019;407;552;282;270
NR2019;408;554;267;287
NR2019;409;1116;540;576
NR2019;410;995;473;522
NR2019;411;654;294;360
NR2019;412;676;325;351
NR2019;413;581;296;285
NR2019;414;551;269;282
NR2019;415;940;460;480
NR2019;416;452;206;246
NR2019;417;533;236;297
NR2019;418;509;228;281
NR2019;419;789;386;403
NR2019;420;579;292;287
NR2019;421;1183;604;579
NR2019;422;738;357;381
NR2019;423;637;298;339
NR2019;424;638;294;344
NR2019;425;527;257;270
NR2019;426;805;386;419
NR2019;501;686;329;357
NR2019;502;853;453;400
NR2019;503;651;328;323
NR2019;504;957;454;503
NR2019;505;734;448;286
NR2019;506;582;290;292
NR2019;507;552;307;245
NR2019;508;792;408;384
NR2019;509;666;317;349
NR2019;510;544;280;264
NR2019;511;651;339;312
NR2019;512;686;346;340
NR2019;513;627;326;301
NR2019;514;636;320;316
NR2019;515;589;293;296
NR2019;516;585;295;290
NR2019;517;464;245;219
NR2019;518;625;316;309
NR2019;519;463;238;225
NR2019;520;504;278;226
NR2019;521;452;217;235
NR2019;522;458;207;251
NR2019;523;531;251;280
NR2019;524;501;241;260
NR2019;601;765;384;381
NR2019;602;774;402;372
NR2019;603;715;340;375
NR2019;604;671;340;331
NR2019;605;661;334;327
NR2019;606;726;351;375
NR2019;607;666;334;332
NR2019;608;745;360;385
NR2019;609;577;274;303
