wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
NR2019;610;888;449;439
NR2019;611;657;340;317
NR2019;612;698;344;354
NR2019;613;675;338;337
NR2019;614;572;304;268
NR2019;615;629;317;312
NR2019;616;749;403;346
NR2019;617;678;340;338
NR2019;618;899;431;468
NR2019;619;897;430;467
NR2019;620;754;369;385
NR2019;621;693;350;343
NR2019;622;632;313;319
NR2019;623;910;422;488
NR2019;624;485;237;248
NR2019;625;522;239;283
NR2019;626;668;305;363
NR2019;627;552;281;271
NR2019;628;540;278;262
NR2019;629;449;226;223
NR2019;630;659;312;347
NR2019;631;515;258;257
NR2019;632;520;288;232
NR2019;701;521;242;279
NR2019;702;517;232;285
NR2019;703;768;354;414
NR2019;704;529;269;260
NR2019;705;893;440;453
NR2019;706;1010;493;517
NR2019;707;710;351;359
NR2019;708;1016;488;528
NR2019;709;560;265;295
NR2019;710;716;361;355
NR2019;711;650;317;333
NR2019;712;664;320;344
NR2019;713;776;360;416
NR2019;714;651;314;337
NR2019;801;677;316;361
NR2019;802;582;257;325
NR2019;803;727;340;387
NR2019;804;707;321;386
NR2019;805;686;317;369
NR2019;806;732;351;381
NR2019;807;706;345;361
NR2019;808;700;330;370
NR2019;809;902;411;491
NR2019;810;811;384;427
NR2019;811;722;325;397
NR2019;812;778;359;419
NR2019;813;1034;480;554
NR2019;814;1025;490;535
NR2019;815;1109;511;598
NR2019;880;82;20;62
NR2019;901;764;338;426
NR2019;902;748;352;396
NR2019;903;584;266;318
NR2019;904;733;354;379
NR2019;905;752;334;418
NR2019;906;743;354;389
NR2019;907;774;366;408
NR2019;908;699;322;377
NR2019;909;748;344;404
NR2019;910;665;300;365
NR2019;911;715;339;376
NR2019;912;661;310;351
NR2019;913;647;284;363
NR2019;1001;660;284;376
NR2019;1002;619;273;346
NR2019;1003;714;307;407
NR2019;1004;633;289;344
NR2019;1005;628;281;347
NR2019;1006;633;314;319
NR2019;1007;671;335;336
NR2019;1101;686;317;369
NR2019;1102;708;323;385
NR2019;1103;700;339;361
NR2019;1104;717;322;395
NR2019;1105;814;388;426
NR2019;1106;840;398;442
NR2019;1107;687;315;372
NR2019;1108;848;422;426
NR2019;1109;624;296;328
NR2019;1110;457;216;241
NR2019;1201;704;331;373
NR2019;1202;746;343;403
NR2019;1203;721;331;390
NR2019;1204;757;366;391
NR2019;1205;760;372;388
NR2019;1206;863;391;472
NR2019;1207;813;356;457
NR2019;1208;634;275;359
NR2019;1209;719;352;367
NR2019;1210;805;372;433
NR2019;1211;695;300;395
NR2019;1212;773;372;401
NR2019;1213;692;321;371
NR2019;1214;677;304;373
NR2019;1215;748;349;399
NR2019;1216;779;387;392
NR2019;1217;777;377;400
NR2019;1218;858;389;469
NR2019;1219;698;351;347
NR2019;1301;653;323;330
NR2019;1302;752;359;393
NR2019;1303;471;239;232
NR2019;1304;707;322;385
NR2019;1305;538;256;282
NR2019;1306;649;292;357
NR2019;1307;436;202;234
NR2019;1308;618;294;324
NR2019;1309;608;271;337
NR2019;1310;638;317;321
NR2019;1311;527;269;258
NR2019;1312;279;141;138
NR2019;1401;746;358;388
NR2019;1402;1052;514;538
NR2019;1403;653;304;349
NR2019;1404;651;311;340
NR2019;1405;815;400;415
NR2019;1406;606;307;299
NR2019;1407;680;306;374
NR2019;1408;784;371;413
NR2019;1409;673;324;349
NR2019;1410;1042;452;590
NR2019;1411;711;320;391
NR2019;1412;722;341;381
NR2019;1413;654;320;334
NR2019;1414;599;280;319
NR2019;1415;719;331;388
NR2019;1416;647;325;322
NR2019;1417;529;252;277
NR2019;1418;624;276;348
NR2019;1419;694;322;372
NR2019;1501;817;379;438
NR2019;1502;742;342;400
NR2019;1503;649;299;350
NR2019;1504;638;273;365
NR2019;1505;842;389;453
NR2019;1506;778;364;414
NR2019;1507;645;302;343
NR2019;1508;614;292;322
NR2019;1509;588;281;307
NR2019;1510;633;284;349
NR2019;1511;637;299;338
NR2019;1512;962;464;498
NR2019;1513;657;301;356
NR2019;1514;744;316;428
NR2019;1515;670;329;341
NR2019;1516;592;264;328
NR2019;1580;124;24;100
NR2019;1601;823;416;407
NR2019;1602;640;318;322
NR2019;1603;760;371;389
NR2019;1604;742;371;371
NR2019;1605;959;444;515
NR2019;1606;819;378;441
NR2019;1607;697;355;342
NR2019;1608;844;373;471
NR2019;1609;727;336;391
NR2019;1610;815;397;418
NR2019;1611;816;409;407
NR2019;1612;856;399;457
NR2019;1613;928;421;507
NR2019;1614;896;456;440
NR2019;1615;647;300;347
NR2019;1701;789;370;419
NR2019;1702;790;394;396
NR2019;1703;646;290;356
NR2019;1704;1053;516;537
NR2019;1705;673;357;316
NR2019;1706;865;422;443
NR2019;1707;793;384;409
NR2019;1708;431;220;211
NR2019;2699;2947;1535;1412
