ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G10809,G10800,Lockenhaus,
NR2017,G10810,G10800,Lutzmannsburg,
NR2017,G10811,G10800,Mannersdorf an der Rabnitz,
NR2017,G10812,G10800,Markt Sankt Martin,
NR2017,G10813,G10800,Neckenmarkt,
NR2017,G10814,G10800,Neutal,
NR2017,G10815,G10800,Nikitsch,
NR2017,G10816,G10800,Oberpullendorf,
NR2017,G10817,G10800,Pilgersdorf,
NR2017,G10818,G10800,Piringsdorf,
NR2017,G10819,G10800,Raiding,
NR2017,G10820,G10800,Ritzing,
NR2017,G10821,G10800,Steinberg-Dörfl,
NR2017,G10822,G10800,Stoob,
NR2017,G10823,G10800,Weppersdorf,
NR2017,G10824,G10800,Lackendorf,
NR2017,G10825,G10800,Unterfrauenhaid,
NR2017,G10826,G10800,Unterrabnitz-Schwendgraben,
NR2017,G10827,G10800,Weingraben,
NR2017,G10828,G10800,Oberloisdorf,
NR2017,G10899,G10800,Wahlkarten - Oberpullendorf,
NR2017,G10900,G1B000,Oberwart,
NR2017,G10901,G10900,Bad Tatzmannsdorf,
NR2017,G10902,G10900,Bernstein,
NR2017,G10903,G10900,Deutsch Schützen-Eisenberg,
NR2017,G10904,G10900,Grafenschachen,
NR2017,G10905,G10900,Großpetersdorf,
NR2017,G10906,G10900,Hannersdorf,
NR2017,G10907,G10900,Kemeten,
NR2017,G10908,G10900,Kohfidisch,
NR2017,G10909,G10900,Litzelsdorf,
NR2017,G10910,G10900,Loipersdorf-Kitzladen,
NR2017,G10911,G10900,Mariasdorf,
NR2017,G10912,G10900,Markt Allhau,
NR2017,G10913,G10900,Markt Neuhodis,
NR2017,G10914,G10900,Mischendorf,
NR2017,G10915,G10900,Oberdorf im Burgenland,
NR2017,G10916,G10900,Oberschützen,
NR2017,G10917,G10900,Oberwart,
NR2017,G10918,G10900,Pinkafeld,
NR2017,G10919,G10900,Rechnitz,
NR2017,G10920,G10900,Riedlingsdorf,
NR2017,G10921,G10900,Rotenturm an der Pinka,
NR2017,G10922,G10900,Schachendorf,
NR2017,G10923,G10900,Stadtschlaining,
NR2017,G10924,G10900,Unterkohlstätten,
NR2017,G10925,G10900,Unterwart,
NR2017,G10926,G10900,Weiden bei Rechnitz,
NR2017,G10927,G10900,Wiesfleck,
NR2017,G10928,G10900,Wolfau,
NR2017,G10929,G10900,Neustift an der Lafnitz,
NR2017,G10930,G10900,Jabing,
NR2017,G10931,G10900,Badersdorf,
NR2017,G10932,G10900,Schandorf,
NR2017,G10999,G10900,Wahlkarten - Oberwart,
NR2017,G1A000,G10000,Burgenland Nord,
NR2017,G1A099,G1A000,Wahlkarten - Burgenland Nord,
NR2017,G1B000,G10000,Burgenland Süd,
NR2017,G1B099,G1B000,Wahlkarten - Burgenland Süd,
NR2017,G20000,G00000,Kärnten,
