JKey,Shortname,Title,Volume,Number,Year
J483,TODS,ACM Trans. Database Syst.,40,1,2015
J484,CACM,Commun. ACM,57,7,2014
J485,TODS,ACM Trans. Database Syst.,41,4,2016
J486,PVLDB,PVLDB,6,9,2013
J487,VLDB,VLDB J.,21,2,2012
J488,KAIS,Knowl. Inf. Syst.,32,1,2012
J489,TKDE,IEEE Trans. Knowl. Data Eng.,25,1,2013
J490,KAIS,Knowl. Inf. Syst.,50,3,2017
J491,PVLDB,PVLDB,12,4,2018
J492,IS,Inf. Syst.,45,,2014
J493,CACM,Commun. ACM,59,5,2016
J494,IS,Inf. Syst.,36,3,2011
J495,CACM,Commun. ACM,56,9,2013
J496,DEBU,IEEE Data Eng. Bull.,39,4,2016
J497,TKDE,IEEE Trans. Knowl. Data Eng.,30,8,2018
J498,IS,Inf. Syst.,36,8,2011
J499,TKDE,IEEE Trans. Knowl. Data Eng.,28,2,2016
J500,PVLDB,PVLDB,5,6,2012
J501,KAIS,Knowl. Inf. Syst.,41,2,2014
J502,CACM,Commun. ACM,56,4,2013
J503,TKDE,IEEE Trans. Knowl. Data Eng.,24,3,2012
J504,PVLDB,PVLDB,11,6,2018
J505,PVLDB,PVLDB,4,11,2011
J506,TKDE,IEEE Trans. Knowl. Data Eng.,27,4,2015
J507,CACM,Commun. ACM,62,9,2019
J508,IS,Inf. Syst.,58,,2016
J509,KAIS,Knowl. Inf. Syst.,60,2,2019
J510,DBSK,Datenbank-Spektrum,15,1,2015
J511,PVLDB,PVLDB,11,1,2017
J512,KAIS,Knowl. Inf. Syst.,28,2,2011
J513,TKDE,IEEE Trans. Knowl. Data Eng.,26,12,2014
J514,TKDE,IEEE Trans. Knowl. Data Eng.,25,6,2013
J515,KAIS,Knowl. Inf. Syst.,35,2,2013
J516,PVLDB,PVLDB,6,4,2013
J517,PVLDB,PVLDB,11,11,2018
J518,IS,Inf. Syst.,79,,2019
J519,VLDB,VLDB J.,26,4,2017
J520,CACM,Commun. ACM,61,1,2018
J521,KAIS,Knowl. Inf. Syst.,37,3,2013
J522,CACM,Commun. ACM,62,4,2019
J523,KAIS,Knowl. Inf. Syst.,51,1,2017
J524,TKDE,IEEE Trans. Knowl. Data Eng.,24,8,2012
J525,IS,Inf. Syst.,87,,2020
J526,PVLDB,PVLDB,5,1,2011
J527,PVLDB,PVLDB,12,10,2019
J528,VLDB,VLDB J.,25,1,2016
J529,CACM,Commun. ACM,60,3,2017
J530,PVLDB,PVLDB,5,12,2012
J531,VLDB,VLDB J.,26,6,2017
J532,DBSK,Datenbank-Spektrum,16,1,2016
J533,PVLDB,PVLDB,12,1,2018
J534,TKDE,IEEE Trans. Knowl. Data Eng.,23,10,2011
J535,KAIS,Knowl. Inf. Syst.,29,2,2011
J536,KAIS,Knowl. Inf. Syst.,38,3,2014
J537,SIGMOD,SIGMOD Record,47,3,2018
J538,TKDE,IEEE Trans. Knowl. Data Eng.,28,12,2016
J539,TKDE,IEEE Trans. Knowl. Data Eng.,31,3,2019
J540,CACM,Commun. ACM,54,3,2011
J541,IS,Inf. Syst.,68,,2017
J542,VLDB,VLDB J.,24,3,2015
J543,IS,Inf. Syst.,36,5,2011
J544,VLDB,VLDB J.,27,4,2018
J545,KAIS,Knowl. Inf. Syst.,57,3,2018
J546,TKDE,IEEE Trans. Knowl. Data Eng.,31,8,2019
J547,SIGMOD,SIGMOD Record,44,2,2015
J548,IS,Inf. Syst.,40,,2014
J549,CACM,Commun. ACM,56,1,2013
J550,CACM,Commun. ACM,60,8,2017
J551,TKDE,IEEE Trans. Knowl. Data Eng.,31,10,2019
J552,CACM,Commun. ACM,62,6,2019
J553,TKDE,IEEE Trans. Knowl. Data Eng.,25,3,2013
J554,VLDB,VLDB J.,23,5,2014
J555,CACM,Commun. ACM,56,10,2013
J556,KAIS,Knowl. Inf. Syst.,59,1,2019
J557,KAIS,Knowl. Inf. Syst.,44,3,2015
J558,TKDE,IEEE Trans. Knowl. Data Eng.,27,9,2015
J559,VLDB,VLDB J.,20,4,2011
J560,KAIS,Knowl. Inf. Syst.,51,3,2017
J561,PVLDB,PVLDB,13,4,2019
J562,SIGMOD,SIGMOD Record,43,4,2014
J563,TODS,ACM Trans. Database Syst.,37,2,2012
J564,IS,Inf. Syst.,37,3,2012
J565,CACM,Commun. ACM,61,11,2018
J566,VLDB,VLDB J.,26,1,2017
J567,CACM,Commun. ACM,60,12,2017
J568,PVLDB,PVLDB,6,1,2012
J569,KAIS,Knowl. Inf. Syst.,42,2,2015
J570,KAIS,Knowl. Inf. Syst.,52,1,2017
J571,TKDE,IEEE Trans. Knowl. Data Eng.,25,8,2013
J572,IS,Inf. Syst.,82,,2019
J573,CACM,Commun. ACM,62,1,2019
J574,CACM,Commun. ACM,54,8,2011
J575,IS,Inf. Syst.,89,,2020
J576,DEBU,IEEE Data Eng. Bull.,34,2,2011
J577,TODS,ACM Trans. Database Syst.,43,2,2018
J578,PVLDB,PVLDB,4,8,2011
J579,IS,Inf. Syst.,38,6,2013
J580,SIGMOD,SIGMOD Record,42,1,2013
