TKey,Author,Title,Year,Type,School,Country,Pages,ISBN
T11515,A1299361,Programming abstractions; compilation; and execution techniques for massively parallel data analysis,2015,PhD,Berlin Institute of Technology,Germany,,
T11537,A463149,Generalized database index structures on massively parallel processor architectures,2019,PhD,Technische University of Ilmenau,Germany,,
T11548,A1387097,Measuring and predicting non-functional properties of customizable programs,2012,PhD,Otto von Guericke University Magdeburg,Germany,,
T11550,A680980,Probabilistic framework for person tracking and classification in security assistance systems,2013,PhD,University of Bonn,Germany,288,978-3-89863-256-0
T11557,A1443727,Using contextual and social links in information retrieval,2012,PhD,University of Hanover,Germany,,
T11586,A426742,Structuring process models,2012,PhD,University of Potsdam,Germany,207,
T11588,A995541,Label ranking with probabilistic models,2012,PhD,University of Marburg,Germany,105,
T11590,A37536,Error isolation in distributed systems,2016,PhD,Dresden University of Technology,Germany,,
T11594,A516936,Handling variants and adaption along the life cycle of event-aware workflows,2012,PhD,Friedrich Schiller University of Jena,Germany,399,
T11598,A538831,Randomized rumor spreading in social networks and complete graphs,2012,PhD,Saarland University,Germany,,
T11611,A2232614,Event Processing and Stream Reasoning with ETALIS,2012,PhD,Karlsruhe Institute of Technology,Germany,,
T11645,A482933,Task-based adaptation of graphical content in smart visual interfaces,2011,PhD,University of Rostock,Germany,214,
T11653,A999224,Graph based conceptual model analysis: design; implementation; demonstration and evaluation of model query languages,2014,PhD,University of Münster,Germany,516,
T11663,A320810,Modelling temporal patterns in user behaviour,2019,PhD,University of Duisburg Essen,Germany,,
T11676,A521314,Information-theoretic graph mining,2015,PhD,Ludwig Maximilians University of Munich,Germany,,
T11687,A1669423,Integration of event processing with service-oriented architectures and business processes,2014,PhD,Darmstadt University of Technology,Germany,146,
T11696,A531245,Data-driven analysis for multimodal neuroimaging,2012,PhD,Berlin Institute of Technology,Germany,,
T11725,A2235755,Benchmarking transaction and analytical processing systems: the creation of a mixed workload benchmark and its application,2013,B,,,164,978-3-642-38069-3
T11729,A1035461,Secure Communication in Disaster Scenarios,2019,PhD,University of Marburg,Germany,,
T11770,A656966,Translation-based ranking in cross-language information retrieval,2014,PhD,University of Heidelberg,Germany,127,
T11791,A1966069,Metadatenbasierte Kontextualisierung architektonischer 3D-Modelle,2013,PhD,Humboldt University of Berlin,Germany,,
T11852,A1548005,Issues on distributed caching of spatial data,2017,PhD,University of Stuttgart,Germany,,
T11858,A2386255,Conjunctive queries; arithmetic circuits and counting complexity,2013,PhD,University of Paderborn,Germany,221,
T11902,A1046756,Anfragebearbeitung auf Mehrkern-Rechnerarchitekturen,2012,PhD,Humboldt University of Berlin,Germany,197,
T11922,A661643,Distributed processing of navigational query languages for RDF,2017,PhD,University of Freiburg,Germany,,
T11949,A1130907,Beobachtungsmöglichkeiten im Domain-Name-System: Angriffe auf die Privatsphäre und Techniken zum Selbstdatenschutz,2014,PhD,University of Hamburg,Germany,476,
T11950,A2053997,Engineering Aggregation Operators for Relational In-Memory Database Systems,2016,PhD,Karlsruhe Institute of Technology,Germany,,
T11977,A484614,Crowdsourcing for linguistic field research and e-learning,2014,PhD,Ludwig Maximilians University of Munich,Germany,167,
T11981,A88384,Exponential families on resource-constrained systems,2018,PhD,Dortmund University of Technology,Germany,,
T12005,A1771443,An e-science infrastructure for collecting; sharing; retrieving; and analyzing heterogeneous scientific data,2018,PhD,Ludwig Maximilians University of Munich,Germany,,
T12029,A1320958,Compressed suffix trees: design; construction; and applications,2011,PhD,University of Ulm,Germany,164,
T12044,A285349,When in doubt ask the crowd: leveraging collective intelligence for improving event detection and machine learning,2015,PhD,University of Hanover,Germany,,
T12072,A1672319,Formal specification of the x86 instruction set architecture,2012,PhD,Saarland University,Germany,,
T12082,A161461,Fuzzing with Stochastic Feedback Processes,2019,PhD,Technical University of Munich,Germany,,
T12102,A1400662,Probabilistic models for context in social media,2016,PhD,University of Koblenz and Landau,Germany,,
T12164,A741577,Bimodal Speech Recognition,2012,PhD,University of Hamburg,Germany,,
T12169,A1437114,Deletion of content in large cloud storage systems,2017,PhD,University of Stuttgart,Germany,,
T12175,A1972285,Resiliency mechanism for in-memory column stores,2018,PhD,Dresden University of Technology,Germany,249,
T12193,A768009,Simplifying the use of event-based systems with context mediation and declarative descriptions,2015,PhD,Darmstadt University of Technology,Germany,149,
T12196,A1567519,Effiziente Verarbeitung und Visualisierung von Mobile Mapping Daten,2017,PhD,University of Hanover,Germany,,
T12212,A1692576,Populating knowledge bases with temporal information,2017,PhD,Saarland University,Germany,,
T12223,A368051,Analyzing short-answer questions and their automatic scoring - studies on semantic relations in reading comprehension and the reduction of human annotation effort,2019,PhD,Saarland University,Germany,,
T12224,A2382790,Coping with distance and location dependencies in spatial; temporal and uncertain data,2013,PhD,Ludwig Maximilians University of Munich,Germany,,
T12229,A702485,Self-tuning for cloud database clusters,2016,PhD,Otto von Guericke University Magdeburg,Germany,,
T12243,A1316038,Soundtrack recommendation for images,2013,PhD,Saarland University,Germany,,
T12247,A13519,Finding the right processor for the job: co-processors in a DBMS,2014,PhD,Technische University of Ilmenau,Germany,115,
T12258,A2172644,Operational Business Intelligence as a Service in the Cloud,2013,PhD,Technical University of Munich,Germany,205,
T12282,A989474,Energy Efficiency in Database Systems,2015,PhD,University of Kaiserslautern,Germany,,
T12292,A2444713,Geometric-based symbol spotting and retrieval in technical line drawings,2012,PhD,University of Kaiserslautern,Germany,146,
T12311,A698598,Analyzing complex data using domain constraints,2017,PhD,Ludwig Maximilians University of Munich,Germany,,
T12327,A2297548,Data processing on heterogeneous hardware,2018,PhD,Technical University of Berlin,Germany,,
T12330,A1125576,Probabilistic graphical models for credibility analysis in evolving online communities,2017,PhD,Saarland University,Germany,,
T12345,A1319205,What's in a query: analyzing; predicting; and managing linked data access,2014,PhD,University of Potsdam,Germany,,
T12355,A537238,Minimizing Overhead for Fault Tolerance in Event Stream Processing Systems,2016,PhD,Dresden University of Technology,Germany,190,
T12372,A1390362,Servicemanagement in der hybriden serviceorientierten-ressourcenorientierten Architektur: Theorie und Untersuchung der Anwendungsinfrastruktur des Betriebsinformationssystems in einer verteilten Umgebung,2014,PhD,University of Mannheim,Germany,251,
T12389,A1136768,Building fast and consistent (geo-)replicated systems: from principles to practice,2016,PhD,Saarland University,Germany,,
T12402,A1861037,Data mining using concepts of independence; unimodality and homophily,2018,PhD,Ludwig Maximilians University of Munich,Germany,,
T12451,A863345,Interactive Multiagent Adaptation of Individual Classification Models for Decision Support,2019,PhD,University of Bremen,Germany,,
T12464,A16343,Query Processing and Optimization in Graph Databases,2015,PhD,Technical University of Munich,Germany,,
T12477,A1985187,Advances in next-track music recommendation,2017,PhD,Dortmund University of Technology,Germany,,
T12521,A1438699,Heterogeneity-Aware Placement Strategies for Query Optimization,2017,PhD,Dresden University of Technology,Germany,,
T12554,A1253498,Anytime algorithms for stream data mining,2011,PhD,RWTH Aachen,Germany,,
T12560,A115956,Approximate string matching for high-throughput sequencing,2015,PhD,Free University of Berlin,Germany,,
T12566,A282679,Physische Datenbankoptimierung in hauptspeicherbasierten Column-Store-Systemen,2012,PhD,Technische University of Ilmenau,Germany,,
T12575,A1556212,Multi-purpose exploratory mining of complex data,2014,PhD,Ludwig Maximilians University of Munich,Germany,,
T12577,A549005,Articulated Human Pose Estimation in Unconstrained Images and Videos,2018,PhD,University of Bonn,Germany,,
T12582,A1136409,Information work support based on activity data (Handlungsdatenbasierte Informationsarbeitsunterstützung),2013,PhD,Darmstadt University of Technology,Germany,,
T12588,A1863852,Lower Bounds for Heuristic Algorithms,2014,PhD,RWTH Aachen,Germany,,
T12605,A1728053,Automatisierte Verfahren für die Themenanalyse nachrichtenorientierter Textquellen,2018,B,,,258,978-3-86962-261-3
T12612,A1045291,Adaptation-Aware Architecture Modeling and Analysis of Energy Efficiency for Software Systems,2018,PhD,Karlsruhe Institute of Technology,Germany,398,
T12615,A1198494,Choosing the right thing: cooperative trade-off enhanced skyline queries,2011,PhD,University of Braunschweig,Germany,,
T12634,A1929213,Query Processing and Optimization in Modern Database Systems,2016,PhD,Technical University of Munich,Germany,,
T12660,A716759,Architectural Principles for Database Systems on Storage-Class Memory,2018,PhD,Dresden University of Technology,Germany,,
T12670,A1509438,Closing the circle of algorithmic and system-centric database optimization: a comprehensive survey on adaptive indexing; data partitioning; and the rewiring of virtual memory,2016,PhD,Saarland University,Germany,,
T12724,A1047456,Methods and tools for summarization of entities and facts in knowledge bases,2015,PhD,Saarland University,Germany,,
T12726,A697641,An object-oriented version model for context-aware data management,2014,PhD,ETH Zurich,Switzerland,,
T12763,A1696191,OdysseusP2P: verteilte Datenstromverarbeitung in privaten P2P-Netzwerken,2016,PhD,University of Oldenburg,Germany,248,978-3-95599-031-2
T12792,A540295,Assistenzsysteme für verteilte Veranstaltungen,2016,PhD,University of Erlangen Nuremberg,Germany,288,978-3-944057-98-9
T12793,A1196088,Mining big data streams for multiple concepts,2015,PhD,Dortmund University of Technology,Germany,,
T12810,A1048799,Parallel SECONDO: processing moving objects data at large scale,2014,PhD,FernUniversity of in Hagen,Germany,,
T12827,A845256,A preference-based relevance feedback approach for polyrepresentative multimedia retrieval,2015,PhD,Brandenburg University of Technology,Germany,,
T12836,A36860,Similarity Search Algorithms over Top-k Rankings and Class-Constrained Objects,2019,PhD,Kaiserslautern University of Technology,Germany,,
T12852,A2136186,Optimization and analysis for dependable application software on unreliable hardware platforms,2019,PhD,Dortmund University of Technology,Germany,,
T12885,A2056916,Alignment incoherence in ontology matching,2011,PhD,University of Mannheim,Germany,190,
T12955,A1520046,Understanding quantities in web tables and text,2019,PhD,Saarland University,Germany,,
T12957,A2139073,Efficient Point Clustering for Visualization,2019,PhD,University of Marburg,Germany,,
T12980,A565005,Algorithms for vehicle navigation,2013,PhD,University of Stuttgart,Germany,,
T12994,A519925,Model-driven development methodology applied to real-time MEG signal pre-processing system design,2019,PhD,University of Duisburg Essen,Germany,,
T13019,A1329115,Wireless embedded systems: time; location; and applications,2012,PhD,ETH Zurich,Switzerland,160,978-3-86628-413-5
T13055,A1278332,Transaktionale Unterstützung kollaborativer Applikationen,2014,PhD,Technische University of Ilmenau,Germany,295,978-3-95404-740-6
T13076,A380501,Modeling Non-Standard Text Classification Tasks,2013,PhD,Bauhaus University,Germany,,
T13083,A1494708,Multi-label Classification with Multiple Class Ontologies,2017,PhD,University of Konstanz,Germany,,
T13098,A1428342,Density-Aware Linear Algebra in a Column-Oriented In-Memory Database System,2016,PhD,Dresden University of Technology,Germany,192,
T13105,A1373206,Analysis and evaluation of multi-relational recommender systems,2012,PhD,University of Hildesheim,Germany,158,978-3-00-038149-2
T13106,A2081860,Query Flattening and the Nested Data Parallelism Paradigm,2019,PhD,University of Tübingen,Germany,,
T13109,A116904,Usage Policies for Decentralised Information Processing,2013,PhD,Karlsruhe Institute of Technology,Germany,,
T13118,A1508968,A Framework for Pattern Matching on Symbolic Trajectories and Tuples of Time-dependent Values,2017,PhD,University of Hagen,Germany,,
T13120,A141231,A Multi-objective Ant Colony Optimisation-based Routing Approach for Wireless Sensor Networks Incorporating Trust,2012,PhD,University of Göttingen,Germany,,
T13148,A122567,Multiple choice allocations with small maximum loads,2014,PhD,Saarland University,Germany,,
T13172,A1863349,A flexible framework for solving constrained ratio problems in machine learning,2015,PhD,Saarland University,Germany,,
T13180,A1127171,Object matching on real-world problems,2014,PhD,University of Leipzig,Germany,183,
T13181,A1969953,Searching and mining in enriched geo-spatial data,2016,PhD,Ludwig Maximilians University of Munich,Germany,,
T13197,A2228229,Load-balanced massively parallel distributed data exploration,2013,PhD,Technical University of Munich,Germany,151,
T13233,A1564273,Indexing methods for web archives,2013,PhD,Saarland University,Germany,,
T13234,A1643595,Integration heterogener Produktdaten in verteilten; komplexen Entwicklungsprozessen,2019,PhD,University of Ulm,Germany,,
T13248,A1250759,Localized events in social media streams: detection; tracking; and recommendation,2016,PhD,University of Heidelberg,Germany,193,
T13253,A894324,Reliability Assessment for Cloud Applications,2017,PhD,University of Göttingen,Germany,,
T13262,A2184723,Analysis of user generated spatio-temporal data: Learning from collections of geotagged photos [],2012,PhD,University of Konstanz,Germany,,
T13272,A999928,Wissensbasierte Tagesrhythmenerfassung und -auswertung in ubiquitären Umgebungen,2016,PhD,Dresden University of Technology,Germany,,
T13315,A1699138,Approaches for enriching and improving textual knowledge bases,2017,PhD,University of Hanover,Germany,,
T13339,A1866271,Runtime support for quality of information requirements in event-based systems,2016,PhD,Darmstadt University of Technology,Germany,,
T13343,A1319228,Prediction with mixture models,2013,PhD,University of Potsdam,Germany,56,
T13380,A1430406,Efficient storage and analysis of genome data in relational database systems,2017,PhD,Otto von Guericke University Magdeburg,Germany,,
T13405,A1394639,A Development Method for the Conceptual Design of Multi-View Modeling Tools with an Emphasis on Consistency Requirements,2015,PhD,University of Bamberg,Germany,,
T13410,A1505099,Semantic search for novel information,2017,PhD,Karlsruhe Institute of Technology,Germany,193,978-3-89838-727-9
T13420,A344784,Information extraction for the geospatial domain,2014,PhD,University of Stuttgart,Germany,,
T13424,A118637,Evaluating the Accuracy and Utility of Recommender Systems,2013,PhD,Berlin Institute of Technology,Germany,,
T13441,A1636415,Effiziente Mehrkernarchitektur für eingebettete Java-Bytecode-Prozessoren,2011,PhD,Dresden University of Technology,Germany,102,
T13456,A545760,Ranking for Web Data Search Using On-The-Fly Data Integration,2014,PhD,Karlsruhe Institute of Technology,Germany,,
T13457,A993492,Feedback-driven data clustering,2014,PhD,Dresden University of Technology,Germany,151,
T13473,A1403512,Mining social media: methods and approaches for content analysis,2014,PhD,University of Koblenz and Landau,Germany,,
T13484,A740466,Schema Flexibility and Data Sharing in Multi-Tenant Databases,2011,PhD,Technical University of Munich,Germany,132,
T13526,A1264381,Consistency; isolation; and irrevocability in software transactional memory,2011,PhD,University of Freiburg,Germany,,
T13534,A2033537,Deep; Seamless; Multi-format; Multi-notation Definition and Use of Domain-specific Languages,2017,PhD,University of Mannheim,Germany,309,978-3-8439-3066-6
T13535,A1668525,Evolution of model-driven engineering settings in practice,2014,PhD,University of Potsdam,Germany,,
T13557,A1685390,i3MAGE: Incremental; Interactive; Inter-Model Mapping Generation,2016,PhD,University of Mannheim,Germany,,
T13629,A697266,Incremental decision procedures for modal logics with nominals and eventualities,2012,PhD,Saarland University,Germany,,
T13653,A1743621,Topics in learning sparse and low-rank models of non-negative data,2015,PhD,Saarland University,Germany,,
T13672,A14271,Efficient indexing for big data in Hadoop MapReduce and main memory databases,2016,PhD,Saarland University,Germany,,
T13683,A1005596,Augmented secure neighbor discovery: aligning security; privacy; and usability,2013,PhD,University of Potsdam,Germany,114,
T13688,A1136840,Beschleunigerarchitekturen zur energieeffizienten Datenbank-Anfrageverarbeitung in Mehrprozessorsystemen,2019,PhD,Dresden University of Technology,Germany,172,
T13717,A139487,A Bio-Inspired Autonomous Authentication Mechanism in Mobile Ad Hoc Networks,2012,PhD,University of Göttingen,Germany,,
T13743,A855974,Effective decision support for Semantic Web Service selection,2012,PhD,Friedrich Schiller University of Jena,Germany,333,
T13774,A744244,Mining interesting events on large and dynamic data,2015,PhD,Saarland University,Germany,,
T13780,A1694712,Understanding fundamental database operations on modern hardware,2015,PhD,Saarland University,Germany,,
T13809,A364404,D-Bees: a novel global algorithm for solving word sense disambiguation,2016,PhD,Hamburg University of Technology,Germany,141,
T13823,A1864486,Declarative design and enforcement for secure cloud applications,2015,PhD,Saarland University,Germany,,
T13870,A1132575,Automatic methods for low-cost evaluation and position-aware models for neural information retrieval,2017,PhD,Saarland University,Germany,,
T13904,A520362,Adding value to text with user-generated content,2018,PhD,University of Potsdam,Germany,114,
T13918,A1474119,Contributions to computer-aided analysis of cuneiform tablet fragments,2019,PhD,Dortmund University of Technology,Germany,,
T13935,A556853,Process model management using description logics,2012,PhD,University of Koblenz and Landau,Germany,255,978-3-89838-507-7
T13936,A1933640,Efficiency in Cluster Database Systems - Dynamic and Workload-Aware Scaling and Allocation,2011,PhD,University of Passau,Germany,,
T13943,A609509,Non-parametric Bayesian Latent Factor Models for Network Reconstruction,2020,PhD,Darmstadt University of Technology,Germany,,
T13948,A402534,Throughput improvements for BPEL engines: implementation techniques and measurements applied to SWoM,2013,PhD,University of Stuttgart,Germany,,
T13959,A1908675,Efficient pairwise multilabel classification,2013,PhD,Darmstadt University of Technology,Germany,247,
T13978,A1671838,Socially enhanced search and exploration in social tagging networks,2012,PhD,Saarland University,Germany,,
T13979,A1273023,Integrierte Validierung der interaktionsbasierten Verhaltensanforderungen und des funktionalen Entwurfs,2018,PhD,University of Duisburg Essen,Germany,,
T13998,A2243185,Optimization of Boolean expressions for main memory database systems,2018,PhD,University of Mannheim,Germany,,
T14016,A1640382,Logics on data words: Expressivity; satisfiability; model checking,2016,PhD,Dortmund University of Technology,Germany,,
T14020,A2187237,Novel approaches for network covert storage channels,2013,PhD,FernUniversity of in Hagen,Germany,,
T14033,A238035,Towards precise and convenient semantic search on text and knowledge bases,2017,PhD,University of Freiburg,Germany,,
T14105,A2377982,Algorithmic building blocks for relationship analysis over large graphs,2015,PhD,Saarland University,Germany,,
T14111,A761594,Evolutionäre Analyse von strategischem Verhalten in Sozialen Netzwerken,2012,PhD,Karlsruhe Institute of Technology,Germany,,
T14125,A212734,Flexibility in data management,2014,PhD,Dresden University of Technology,Germany,167,
T14135,A2351100,Understanding and managing extract-transform-load systems,2013,PhD,University of Potsdam,Germany,,
T14159,A2277121,Private-by-Design Advertising and Analytics: From Theory to Practice,2015,PhD,University of Kaiserslautern,Germany,,
T14174,A1278422,Flexible processing of streamed context data in a distributed environment,2014,PhD,University of Stuttgart,Germany,,
T14175,A2212071,Neural information extraction from natural language text,2019,PhD,Ludwig Maximilians University of Munich,Germany,,
T14183,A662978,Advances in probabilistic modeling of natural images,2015,PhD,University of Tübingen,Germany,,
T14198,A735747,Finite Field Arithmetic over GF(2 to m) on FPGAs - Analysis; Evaluation and Implementations,2015,PhD,University of Braunschweig,Germany,,
T14202,A2296847,Transforming TechKnowledgies: the case of open digital fabrication,2017,PhD,Technical University of Munich,Germany,,
T14224,A1710477,Maschinelles Lernen in Datenstrommanagementsystemen,2014,PhD,Carl von Ossietzky University of Oldenburg,Germany,189,978-3-95599-001-5
T14254,A1393104,Discovering and disambiguating named entities in text,2015,PhD,Saarland University,Germany,,
T14275,A429443,Coding for Relay Networks and Effective Secrecy for Wire-tap Channels,2014,PhD,Technical University of Munich,Germany,,
T14304,A2054252,Enriching the Web of Data with topics and links,2013,PhD,University of Potsdam,Germany,147,
T14309,A2379400,Web-Scale Web Table to Knowledge Base Matching,2017,PhD,University of Mannheim,Germany,,
T14319,A1502452,Adaptive time- and process-aware information systems,2017,PhD,University of Ulm,Germany,250,
T14332,A921048,Classifying; evaluating and advancing big data benchmarks,2019,PhD,Goethe University of Frankfurt,Germany,,
T14337,A2215451,High-speed indexing and archival of network measurement data,2012,PhD,ETH Zurich,Switzerland,137,978-3-8440-1464-8
T14347,A963547,Robust and adaptive query processing in hybrid transactional/analytical database systems,2019,PhD,Technische University of Ilmenau,Germany,,
T14361,A2076951,Benchmarking dataflow systems for scalable machine learning,2018,PhD,Technical University of Berlin,Germany,,
T14368,A336732,Distributed RDF Querying on Hadoop,2017,PhD,University of Freiburg,Germany,,
T14372,A1587301,Credibility analysis of textual claims with explainable evidence,2019,PhD,Saarland University,Germany,,
T14378,A776968,Efficient and flexible lineage construction for probabilistic databases,2016,PhD,Brandenburg University of Technology,Germany,,
T14381,A1025241,Similarity Search in Medical Data,2011,PhD,Ludwig Maximilians University of Munich,Germany,,
T14404,A1642209,Joint models for information and knowledge extraction,2017,PhD,Saarland University,Germany,,
T14414,A1895898,Tensor factorization for relational learning,2013,PhD,Ludwig Maximilians University of Munich,Germany,145,
T14449,A1986014,Optimal Parameter Choice for Bloom Filter-based Privacy-preserving Record Linkage,2019,PhD,University of Duisburg Essen,Germany,,
T14484,A2033312,Selective learning for recommender systems,2017,PhD,Otto von Guericke University Magdeburg,Germany,,
T14498,A1378349,Searching business process models by example,2013,PhD,University of Potsdam,Germany,,
T14523,A1495309,Scalable time series similarity search for data analytics,2015,PhD,Humboldt University of Berlin,Germany,,
T14528,A2069260,Efficient querying and learning in probabilistic and temporal databases,2014,PhD,Saarland University,Germany,,
T14533,A1351782,Efficient knowledge management for named entities from text,2017,PhD,Saarland University,Germany,,
T14550,A2296518,An Algorithmic View on Sensor Networks - Surveillance; Localization; and Communication,2014,PhD,Karlsruhe Institute of Technology,Germany,,
T14558,A2186210,Learning comprehensible models for analysis and predictions in scientific databases,2014,PhD,RWTH Aachen,Germany,,
T14582,A1685145,Methods for Frequent Sequence Mining with Subsequence Constraints,2016,PhD,University of Mannheim,Germany,,
T14585,A1917943,Querying and mining heterogeneous spatial; social; and temporal data,2019,PhD,Ludwig Maximilians University of Munich,Germany,,
T14611,A1125720,Modern techniques for transaction-oriented database recovery,2017,PhD,Kaiserslautern University of Technology,Germany,141,978-3-8439-3297-4
T14614,A902315,User modeling in the social semantic web,2015,PhD,Technical University of Berlin,Germany,,
T14665,A244314,Towards Dynamic Composition of Question Answering Pipelines,2019,PhD,University of Bonn,Germany,,
T14672,A902931,Systematik für die leistungs- und zuverlässigkeitsorientierte Modellierung von Arbeitsprozessen mit kontrollflussorientierten Notationssystemen,2014,PhD,RWTH Aachen,Germany,225,978-3-8440-2728-0
T14693,A18969,Structural Graph Clustering: Scalable Methods and Applications for Graph Classification and Regression,2014,PhD,Technical University of Munich,Germany,,
T14707,A2355063,HYRISE: a main memory hybrid database storage engine,2012,PhD,University of Potsdam,Germany,3,
T14724,A536231,Management and Federation of Stream Processing Applications,2012,PhD,ETH Zurich,Switzerland,,
T14742,A1195127,Aggregates caching for enterprise applications,2016,PhD,University of Potsdam,Germany,167,
T14756,A921250,Latency Prediction for P2P Overlays,2012,PhD,Technical University of Munich,Germany,,3-937201-29-7
T14767,A1311148,From supervised to unsupervised support vector machines and applications in astronomy,2011,PhD,Carl von Ossietzky University of Oldenburg,Germany,191,
T14773,A1442032,Handling Tradeoffs between Performance and Query-Result Quality in Data Stream Processing,2018,PhD,Dresden University of Technology,Germany,,
T14789,A105427,Engineering web community information systems via near real-time collaborative modeling support,2018,PhD,RWTH Aachen,Germany,,
T14796,A1013985,Extending the OLAP Technology for Social Media Analysis,2015,PhD,University of Konstanz,Germany,,
T14828,A715078,On the importance of ecologically valid usable security research for end users and IT workers,2016,PhD,University of Hanover,Germany,,
T14842,A900636,Improving coverage in simulation-based verification,2014,PhD,University of Bremen,Germany,120,
T14845,A2150894,Algorithmic aspects of grammar-compressed trees,2019,PhD,University of Siegen,Germany,,
T14870,A2155954,Scalable optimization algorithms for recommender systems,2014,PhD,Saarland University,Germany,,
T14883,A1468381,Supervised and unsupervised methods for learning representations of linguistic units,2017,PhD,Ludwig Maximilians University of Munich,Germany,,
T14891,A2164819,On the use of language models and topic models in the web: new algorithms for filtering; classification; ranking; and recommendation,2012,PhD,University of Hanover,Germany,128,
T14893,A479743,Sentiment analysis with limited training data,2013,PhD,Saarland University,Germany,,
T14898,A1412426,Conformance checking and simulation-based evolutionary optimization for deployment and reconfiguration of software in the cloud,2014,PhD,University of Kiel,Germany,636,978-3-7322-9734-4
T14913,A1048334,On scalable inference and learning in spike-and-slab sparse coding,2017,PhD,Technical University of Berlin,Germany,,
T14937,A905312,Proactive recommender systems in automotive scenarios,2013,PhD,Technical University of Munich,Germany,330,
T14942,A2138908,Optimizing end-to-end machine learning pipelines for model training,2019,PhD,Technical University of Berlin,Germany,,
T14945,A36551,Context Selection on Attributed Graphs for Outlier and Community Detection,2015,PhD,Karlsruhe Institute of Technology,Germany,,
T14950,A1328691,Ein effizienter Ansatz zur Übersetzung zwischen Service-Protokollen durch die Modellierung von Verhaltensunterschieden,2012,PhD,Carl von Ossietzky University of Oldenburg,Germany,149,
T14966,A1057407,Aspect-Oriented Sentiment Analysis of Customer Reviews Using Distant Supervision Techniques,2013,PhD,Free University of Berlin,Germany,,
T15007,A1845801,Temporal models in data mining: enrichment; summarization and recommendation,2018,PhD,University of Hanover,Germany,,
T15008,A1540757,Minimal-invasive provenance integration into data-intensive systems,2014,PhD,Otto von Guericke University Magdeburg,Germany,,
T15012,A1850589,Automating User-Centered Design of Data-Intensive Processes,2017,PhD,Dresden University of Technology,Germany,,
T15036,A722256,Implicit entity networks: a versatile document model,2019,PhD,University of Heidelberg,Germany,238,
T15044,A278153,Data and knowledge engineering for medical image and sensor data,2012,PhD,Ludwig Maximilians University of Munich,Germany,221,
T15060,A381338,Clustering information entities based on statistical methods,2012,PhD,University of Hanover,Germany,151,
T15070,A1262522,Automatic extraction of facts; relations; and entities for web-scale knowledge base population,2013,PhD,Saarland University,Germany,,
T15087,A91836,Systematic design of self-adaptive embedded systems with applications in image processing,2012,PhD,University of Erlangen Nuremberg,Germany,215,
T15119,A839772,Design and Evaluation of Event Detection Techniques for Social Media Data Streams,2016,PhD,University of Konstanz,Germany,,
T15123,A1255038,Parallel real-time rendering using heterogeneous PC clusters,2011,PhD,University of Paderborn,Germany,141,
T15126,A37975,Extending Dynamic-Programming-Based Plan Generators: Beyond Pure Enumeration,2017,PhD,University of Mannheim,Germany,,
T15138,A1140131,Predictive analytics and protection of massive data,2015,PhD,RWTH Aachen,Germany,,978-3-86359-356-8
T15142,A1646767,Incremental recomputations in materialized data integration,2013,PhD,University of Kaiserslautern,Germany,188,
T15156,A1799698,Datentransformationen in NoSQL-Datenbanken,2017,PhD,Kaiserslautern University of Technology,Germany,,
T15162,A1126477,Mining user-generated content for incidents = Auswertung von nutzergenerierten Inhalten für Schadensereignisse,2014,PhD,Darmstadt University of Technology,Germany,285,
T15178,A533798,Schema-agnostic entity retrieval in highly heterogeneous semi-structured environments,2015,PhD,University of Hanover,Germany,,
T15196,A1671039,Effective distant supervision for end-to-end knowledge base population systems,2015,PhD,Saarland University,Germany,,
T15248,A2058754,Latenzreduktion priorisierter Nachrichten in Datenstrommanagementsystemen,2012,PhD,Carl von Ossietzky University of Oldenburg,Germany,179,978-3-939704-75-1
T15251,A1028614,Supporting Researchers: Analyzing the Scholarly Publication Life Cycle and Social Bookmarking Systems,2017,PhD,University of Kassel,Germany,,
T15255,A46214,Effective and efficient similarity search in databases,2013,PhD,University of Potsdam,Germany,107,
T15286,A2246365,Impact of new storage technologies on an OLTP DBMS; its architecture and algorithms,2016,PhD,Darmstadt University of Technology,Germany,,
T15290,A1561859,Methods for Improving the Quality of Software Obfuscation for Android Applications,2017,PhD,University of Erlangen Nuremberg,Germany,,
T15292,A1197348,Electroencephalographics: A Novel Modality for Graphics Research,2015,PhD,Braunschweig University of Technology,Germany,,
T15297,A48068,Query-Time Data Integration,2015,PhD,Dresden University of Technology,Germany,,
T15310,A1229786,A Conceptual Model and a Software Framework for Developing Context-Aware Hybrid Recommender Systems,2013,PhD,University of Duisburg Essen,Germany,,
T15313,A1202164,Human computing and crowdsourcing methods for knowledge acquisition,2014,PhD,Saarland University,Germany,,
T15322,A2295825,On the Integration of Array and Relational Models in Databases,2018,PhD,Jacobs University Bremen,Germany,,
T15325,A534451,Skalierbare Ausführung von Prozessanwendungen in dienstorientierten Umgebungen,2012,PhD,Dresden University of Technology,Germany,199,
T15352,A1863894,Data definition languages for XML repository management systems,2016,PhD,Dortmund University of Technology,Germany,238,978-3-86247-578-0
T15390,A1081459,Verbesserung der Videoqualität mit Hilfe einer neuartigen Repräsentation von Videomaterial,2015,PhD,University of Ulm,Germany,,
T15417,A1649982,Subspace clustering for complex data,2012,PhD,RWTH Aachen,Germany,,
T15462,A1651339,Shape Retrieval Methods for Architectural 3D Models,2014,PhD,University of Bonn,Germany,,
T15465,A1275867,Dependency discovery for data integration,2013,PhD,University of Potsdam,Germany,,
