AKey,Name,Aliases,Affiliation,Country,Website
A16799,Athman Bouguettaya,,,,http://www.rmit.edu.au/browse;ID=4t3gamo6mwqn
A16978,Meinard Müller,,Audio Labs Erlangen,Germany,http://www.audiolabs-erlangen.de/fau/professor/mueller
A17026,Xiaoyan Guo,,,,
A17044,Jing Zhou,,,,
A17132,He Wang 0008,,Purdue University,USA,https://orcid.org/0000-0003-2987-8362
A17164,Mohammad Dashti,,,,
A17211,Marco Vanetti,,,,
A17239,Lei Yu,,,,
A17477,Salmin Sultana,,,,
A17505,Kasper Bonne Rasmussen,Kasper Rasmussen,,,
A17511,Ashish Motivala,,,,
A17523,Anja Bachmann,,,,
A17540,Amit Ruhela,,,,
A17551,Alexandros Iosifidis,,,,https://orcid.org/0000-0003-4807-1345
A17567,Nacéra Bennacer Seghouani,Nacéra Seghouani:Nacéra Bennacer,Université Paris Saclay,France,https://www.lri.fr/membre.php?mb=2048
A17709,Fan Wei,,,,
A17727,Runze Li,,,,
A17892,Yuhong Zhang,,,,
A17988,Sami Zhioua,,,,
A17995,Rocco De Rosa,,,,
A18002,Joss Wright,,,,
A18041,Chikara Hashimoto,,,,
A18057,Myunggwon Hwang,Myungkwon Hwang,,,
A18138,Ying Shen,,,,
A18145,He Wang,,,,
A18173,Sihua Tian,,,,
A18230,David Ing,,,,
A18232,Joel A. Granados,,,,
A18266,Xiao Han 0001,,Shanghai University of Finance and Economics,China,https://orcid.org/0000-0003-1331-0860
A18272,Elena Zheleva,,,,
A18306,Karthik Raman 0001,,Google,USA,http://www.cs.cornell.edu/~karthik/
A18481,Mark P. Graus,,,,
A18502,Chen Sun,,,,
A18546,Christian Wartner,,,,
A18561,Ioannis Pefkianakis,Yiannis Pefkianakis,,,
A18606,Armita Afsharinejad,,,,
A18611,Lefteris Sidirourgos,,,,
A18634,Alla Rozovskaya,,,,
A18789,Shih-Ying Chang,,,,
A18829,Liang Chen,,,,
A18836,Yang Gu,,,,
A18861,Rada Chirkova,Rada Y. Chirkova,North Carolina State University,USA,http://dbgroup.ncsu.edu/?page_id=29
A18867,Neal Wadhwa,,,,
A18911,Ding Zhou,,,,
A18921,Hamid R. Rabiee,Hamid Reza Rabiee,Sharif University of Technology,Iran,http://sina.sharif.edu/~rabiee/
A18937,Deqing Yang,,,,
A18969,Madeleine Seeland,,,,
A19030,Andreas Bender,,,,
A19040,Ivan Popivanov,,,,
A19098,Yubin Xia,,,,
A19169,Ying Zhu,,,,
A19243,Man Lan,,,,
A19248,Dan Meng,,,,
A19315,Guanfeng Liu,,,,
A19408,Guang Jiang,,,,
A19538,Jianbin Qin,,,,
A19541,Paolo Serafino,,,,
A19569,Sheng-Jun Huang,,,,
A19744,Ken Yocum,Kenneth Yocum,,,
A19783,Michael Adams,,,,
A19856,Yong Zeng,,,,
A19875,David Isern,,,,
A19902,Johannes Leveling,,,,https://orcid.org/0000-0003-0603-4191
A19919,Chen Yang,,,,
A19935,Duy Tin Truong,,,,
A19954,Rick Barber,,,,
A19987,N. Balakrishnan 0001,,Indian Institute of Science,India,http://www.serc.iisc.ernet.in/~balki/
A20057,Yanhong A. Liu,Yanhong Annie Liu,,,http://www.wikidata.org/entity/Q66146666
A20186,Yuta Suzuki,,,,
A20192,David Lomax,,,,
A20198,Terran Lane,,,,
A20214,Xu Miao,,,,
A20237,Truls Amundsen Bjørklund,,,,
A20257,Jiang Wang,,,,
A20405,Angel Luis Rubio,,,,https://orcid.org/0000-0002-3052-6404
A20424,Bobby Schnabel,Robert B. Schnabel,ACM,,https://www.soic.indiana.edu/all-people/profile.html?profile_id=294
A20459,Jong-Bin Kim,,,,
A20541,Iovka Boneva,,University of Lille,France,http://www.lifl.fr/~boneva/
A20708,Wanyun Cui,,,,
A20758,Owen Arden,,,,
A20813,Melisachew Wudage Chekol,,,,
A20928,Liangliang Ye,,,,
A20960,Rohan Palaniappan,,,,
A20984,Sebastian Seith,,,,
A20989,Andreas Seifert,,,,
A21047,Bob Schulman,,,,
A21055,Soujanya Poria,,Singapore University of Technology and Design,Singapore,https://people.sutd.edu.sg/~sporia/
A21076,Jason Yap,,,,
A21334,Naif Tarafdar,,,,
A21384,Richard Park,,,,
A21389,Pritam Damania,,,,
A21451,Shuai Zhao,,,,
A21469,André Medek,André Gießler,Martin Luther University of Halle Wittenberg,Germany,http://www.informatik.uni-halle.de/ti/mitarbeiter/20178_2427259/
A21695,Rija Javed,,,,
A21791,Philipp Singer,,GESIS,Germany,http://www.philippsinger.info/
A21826,Mayank Sachan,,,,
A21875,Stella Neumann,,,,
A21896,Karen E. Blackmon,,,,
A21900,Sasa Tomasevic,,,,
A21965,Jun Li,,,,
A22146,Aditya Auradkar,,,,
A22152,Jemiah Westerman,,,,
A22156,Katia Papakonstantinopoulou,,,,
A22246,Henry Z. Lo,,,,
A22300,Victor Bittorf,,,,
A22359,Gad Markovits,,,,
A22382,Sabbas Burdakis,,,,
A22555,Sajid Topiwala,,,,
A22602,Yonathan Perez,,,,
A22619,Guoqiang Jerry Chen,,,,
A22710,Guodong Feng,,,,
A22773,Asmaa Sallam,Asmaa Mohamed Sallam,,,
A22808,Roshan Sumbaly,,,,
A22900,Zach White,,,,
A22993,Arnab Ganguly 0002,,Louisiana State University,USA,http://csc.lsu.edu/cios/People.html
A23134,Michael W. Cole,,,,
A23168,Andrej Spielmann,,,,
A23178,Ken Goodhope,,,,
A23241,Zhonglei Gu,,,,
A23255,Ian Charlesworth,,,,
A23303,Michele A. Brandão,Michele Amaral Brandão,,,
A23312,Dimitrije Filipovic,,,,
A23413,Rakesh Pimplikar,Rakesh Rameshrao Pimplikar,,,
A23469,Bala M. Gnanasekaran,,,,
A23472,Michael Busch,,,,
A23513,Nilam Ram,,,,
A23535,Priyanka Bhatt,,,,
A23621,Mahanth Gowda,,,,
A23734,Satoshi Torikai,,,,
A23775,Bayar Tsolmon,,,,
