CKey,Shortname,Title,City,Country,Editors,Year,ISBN
C45,SIGMOD,ACM SIGMOD International Conference on Management of Data; SIGMOD 2013,New York,USA,A402440:A705198:A2453476,2013,978-1-4503-2037-5
C46,SIGMOD,2016 International Conference on Management of Data; SIGMOD Conference 2016,San Francisco,USA,A288450:A856239:A1854819,2016,978-1-4503-3531-7
C47,SIGMOD,ACM SIGMOD International Conference on Management of Data; SIGMOD 2012,Scottsdale,USA,A1444162:A334535:A704396:A834672:A2353195,2012,978-1-4503-1247-9
C48,SIGMOD,International Conference on Management of Data; SIGMOD 2014,Snowbird,USA,A1204273:A1565396:A288585,2014,978-1-4503-2376-5
C49,SIGMOD,2017 ACM International Conference on Management of Data; SIGMOD Conference 2017,Chicago,USA,A462986:A1551286:A18861:A1164700:A704853,2017,978-1-4503-4197-4
C50,SIGMOD,ACM SIGMOD International Conference on Management of Data,Athens,Greece,A704762:A1855178:A283983:A981940,2011,978-1-4503-0661-4
C51,SIGMOD,2018 International Conference on Management of Data; SIGMOD Conference 2018,Houston,USA,A764949:A39362:A1986759,2018,
C52,ER,Conceptual Modeling - 34th International Conference; ER 2015,Stockholm,Sweden,A39244:A1565997:A1565529:A961172:A2453574,2015,978-3-319-25263-6
C53,ER,Conceptual Modeling - 38th International Conference; ER 2019,Salvador,Brazil,A1565582:A2453626:A1565265:A288611,2019,978-3-030-33223-5
C54,ER,Conceptual Modeling - 32th International Conference; ER 2013,Hong Kong,China,A1242954:A281167:A2006515,2013,978-3-642-41923-2
C55,ER,Conceptual Modeling - 35th International Conference; ER 2016,Gifu,Japan,A1444418:A1380383:A705680:A85534:A771977,2016,978-3-319-46396-4
C56,ER,Conceptual Modeling - 31st International Conference ER 2012,Florence,Italy,A111470:A1444322:A424722,2012,978-3-642-34001-7
C57,ER,Conceptual Modeling - 33rd International Conference; ER 2014,Atlanta,USA,A2217803:A1203843:A39491:A1855892,2014,978-3-319-12205-2
C58,ER,Conceptual Modeling - 36th International Conference; ER 2017,Valencia,Spain,A1496348:A986660:A920152:A2453574,2017,978-3-319-69904-2
C59,ER,Conceptual Modeling - ER 2011; 30th International Conference; ER 2011,Brussels,Belgium,A39468:A1204289:A1565160,2011,978-3-642-24605-0
C60,ER,Conceptual Modeling - 37th International Conference; ER 2018,Xi'an,China,A2006515:A1934421:A344317:A535076:A1565160:A1565054:A1565997,2018,978-3-030-00847-5
C61,BTW,Datenbanksysteme für Business; Technologie und Web (BTW); 16. Fachtagung des GI-Fachbereichs Datenbanken und Informationssysteme (DBIS),Hamburg,Germany,A704815:A402138:A2165366:A705744:A70235:A478047:A369467,2015,978-3-88579-635-0
C62,BTW,Datenbanksysteme für Business; Technologie und Web (BTW 2019); 18. Fachtagung des GI-Fachbereichs „Datenbanken und Informationssysteme (DBIS),Rostock,Germany,A835175:A1242949:A2206397:A1565574:A70235:A402609:A69726:A855998:A1855662,2019,978-3-88579-683-1
C63,BTW,Datenbanksysteme für Business; Technologie und Web (BTW); 15. Fachtagung des GI-Fachbereichs Datenbanken und Informationssysteme (DBIS),Magdeburg,Germany,A1855758:A705340:A705744:A2442333:A1855118:A70235:A1011169,2013,978-3-88579-608-4
C64,BTW,Datenbanksysteme für Business; Technologie und Web (BTW 2017); 17. Fachtagung des GI-Fachbereichs „Datenbanken und Informationssysteme (DBIS),Stuttgart,Germany,A1855118:A1243120:A1565585:A2165366:A2106426:A2247099:A70235:A1641623:A377193,2017,978-3-88579-659-6
C65,BTW,Datenbanksysteme für Business; Technologie und Web (BTW); 14. Fachtagung des GI-Fachbereichs Datenbanken und Informationssysteme (DBIS),Kaiserslautern,Germany,A70235:A1565574:A1855118:A2165366:A1024073,2011,978-3-88579-274-1
C66,WSDM,Eighth ACM International Conference on Web Search and Data Mining; WSDM 2015,Shanghai,China,A1381848:A1901338:A1307438:A2247340,2015,978-1-4503-3317-7
C67,WSDM,Twelfth ACM International Conference on Web Search and Data Mining; WSDM 2019,Melbourne,Australia,A1272254:A1854915:A2217815:A1385920,2019,978-1-4503-5940-5
C68,WSDM,WSDM '20: The Thirteenth ACM International Conference on Web Search and Data Mining,Houston,USA,A457677:A1348885:A1565671:A2106232,2020,978-1-4503-6822-3
C69,WSDM,Sixth ACM International Conference on Web Search and Data Mining; WSDM 2013,Rome,Italy,A1565369:A2185908:A349917:A835166,2013,978-1-4503-1869-3
C70,WSDM,Ninth ACM International Conference on Web Search and Data Mining,San Francisco,USA,A2217815:A736251:A1243000:A656016,2016,978-1-4503-3716-8
C71,WSDM,Fifth International Conference on Web Search and Web Data Mining; WSDM 2012,Seattle,USA,A111471:A712650:A1041037:A1855639,2012,978-1-4503-0747-5
C72,WSDM,Seventh ACM International Conference on Web Search and Data Mining; WSDM 2014,New York,USA,A2365331:A712672:A1444428:A1535044,2014,978-1-4503-2351-2
C73,WSDM,Tenth ACM International Conference on Web Search and Data Mining; WSDM 2017,Cambridge,United Kingdom,A402507:A1702413:A2247268:A1902548,2017,978-1-4503-4675-7
C74,WSDM,Forth International Conference on Web Search and Web Data Mining; WSDM 2011,Hong Kong,China,A855648:A1242906:A1901338,2011,978-1-4503-0493-1
C75,WSDM,Eleventh ACM International Conference on Web Search and Data Mining; WSDM 2018,Marina Del Rey,USA,A1563775:A755781:A1565039:A1855639,2018,978-1-4503-5581-0
C76,PODS,34th ACM Symposium on Principles of Database Systems; PODS 2015,Melbourne,Australia,A1855345:A1444299,2015,978-1-4503-2757-2
C77,PODS,38th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems; PODS 2019,Amsterdam,The Netherlands,A704853:A1054604:A856309,2019,978-1-4503-6227-6
C78,PODS,32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems; PODS 2013,New York,USA,A69967:A2235052,2013,978-1-4503-2066-5
C79,PODS,35th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems; PODS 2016,San Francisco,USA,A1855345:A2247210,2016,978-1-4503-4191-2
C80,PODS,31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems; PODS 2012,Scottsdale,USA,A1986177:A770384:A1565717,2012,978-1-4503-1248-6
C81,PODS,33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems; PODS'14,Snowbird,USA,A69967:A834962,2014,978-1-4503-2375-8
C82,PODS,36th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems; PODS 2017,Chicago,USA,A299401:A1986737:A835200,2017,978-1-4503-4198-1
C83,PODS,30th ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems; PODS 2011,Athens,Greece,A1565717:A705036,2011,978-1-4503-0660-7
C84,PODS,37th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,Houston,USA,A1986737:A2064376,2018,
