#Year, Host_Country, Match_ID, Team, Player, Minute
2014,Brazil,736,Germany,Miroslav Klose,71
2014,Brazil,736,Ghana,André Ayew,54
2014,Brazil,736,Ghana,Asamoah Gyan,63
2014,Brazil,737,United States,Jermaine Jones,64
2014,Brazil,737,United States,Clint Dempsey,81
2014,Brazil,737,Portugal,Nani,5
2014,Brazil,737,Portugal,Silvestre Varela,95
2014,Brazil,738,Germany,Thomas Müller,55
2014,Brazil,739,Portugal,John Boye,31
2014,Brazil,739,Portugal,Cristiano Ronaldo,80
2014,Brazil,739,Ghana,Asamoah Gyan,57
2014,Brazil,740,Belgium,Marouane Fellaini,70
2014,Brazil,740,Belgium,Dries Mertens,80
2014,Brazil,740,Algeria,Sofiane Feghouli,25
2014,Brazil,741,Russia,Aleksandr Kerzhakov,74
2014,Brazil,741,South Korea,Lee Keun-Ho,68
2014,Brazil,742,Belgium,Divock Origi,88
2014,Brazil,743,South Korea,Son Heung-Min,50
2014,Brazil,743,South Korea,Koo Ja-Cheol,72
2014,Brazil,743,Algeria,Islam Slimani,26
2014,Brazil,743,Algeria,Rafik Halliche,28
2014,Brazil,743,Algeria,Abdelmoumene Djabou,38
2014,Brazil,743,Algeria,Yacine Brahimi,62
2014,Brazil,744,Belgium,Jan Vertonghen,78
2014,Brazil,745,Algeria,Islam Slimani,60
2014,Brazil,745,Russia,Aleksandr Kerzhakov,6
2014,Brazil,746,Brazil,David Luiz,18
2014,Brazil,746,Chile,Alexis Sánchez,32
2014,Brazil,747,Colombia,James Rodríguez,28
2014,Brazil,747,Colombia,James Rodríguez,50
2014,Brazil,748,Netherlands,Wesley Sneijder,88
2014,Brazil,748,Netherlands,Klaas-Jan Huntelaar,90
2014,Brazil,748,Mexico,Giovani dos Santos,48
2014,Brazil,749,Costa Rica,Bryan Ruiz,52
2014,Brazil,749,Greece,Sokratis Papastathopoulos,90
2014,Brazil,750,France,Paul Pogba,79
2014,Brazil,750,France,Joseph Yobo,92
2014,Brazil,751,Germany,André Schürrle,92
2014,Brazil,751,Germany,Mesut Özil,120
2014,Brazil,751,Algeria,Abdelmoumene Djabou,121
2014,Brazil,752,Argentina,Ángel di María,118
2014,Brazil,753,Belgium,Kevin De Bruyne,93
