#Year, Host_Country, Match_ID, Type, Date, Location, Team 1, Team 2, Score 1, Score 2
1958,Sweden,53,Group 4,1958-06-17,Ullevi; Gothenburg,Soviet Union,England,1,0
1958,Sweden,54,Quarter-finals,1958-06-19,Idrottsparken; Norrköping,France,Northern Ireland,4,0
1958,Sweden,55,Quarter-finals,1958-06-19,Råsunda Stadium; Solna,Sweden,Soviet Union,2,0
1958,Sweden,56,Quarter-finals,1958-06-19,Ullevi; Gothenburg,Brazil,Wales,1,0
1958,Sweden,57,Quarter-finals,1958-06-19,Malmö Stadion; Malmö,West Germany,Yugoslavia,1,0
1958,Sweden,58,Semi-finals,1958-06-24,Råsunda Stadium; Solna,France,Brazil,2,5
1958,Sweden,59,Semi-finals,1958-06-24,Ullevi; Gothenburg,West Germany,Sweden,1,3
1958,Sweden,60,Match for third place,1958-06-28,Ullevi; Gothenburg,West Germany,France,3,6
1958,Sweden,61,Final,1958-06-29,Råsunda Stadium; Solna,Sweden,Brazil,2,5
1962,Chile,62,Group 1,1962-05-30,Estadio Carlos Dittborn; Arica,Uruguay,Colombia,2,1
1962,Chile,63,Group 1,1962-05-31,Estadio Carlos Dittborn; Arica,Soviet Union,Yugoslavia,2,0
1962,Chile,64,Group 1,1962-06-02,Estadio Carlos Dittborn; Arica,Yugoslavia,Uruguay,3,1
1962,Chile,65,Group 1,1962-06-03,Estadio Carlos Dittborn; Arica,Soviet Union,Colombia,4,4
1962,Chile,66,Group 1,1962-06-06,Estadio Carlos Dittborn; Arica,Soviet Union,Uruguay,2,1
1962,Chile,67,Group 1,1962-06-07,Estadio Carlos Dittborn; Arica,Yugoslavia,Colombia,5,0
1962,Chile,68,Group 2,1962-05-30,Estadio Nacional; Santiago,Chile,Switzerland,3,1
1962,Chile,69,Group 2,1962-05-31,Estadio Nacional; Santiago,West Germany,Italy,0,0
1962,Chile,70,Group 2,1962-06-02,Estadio Nacional; Santiago,Chile,Italy,2,0
1962,Chile,71,Group 2,1962-06-03,Estadio Nacional; Santiago,West Germany,Switzerland,2,1
1962,Chile,72,Group 2,1962-06-06,Estadio Nacional; Santiago,West Germany,Chile,2,0
1962,Chile,73,Group 2,1962-06-07,Estadio Nacional; Santiago,Italy,Switzerland,3,0
1962,Chile,74,Group 3,1962-05-30,Estadio Sausalito; Viña del Mar,Brazil,Mexico,2,0
1962,Chile,75,Group 3,1962-05-31,Estadio Sausalito; Viña del Mar,Czechoslovakia,Spain,1,0
1962,Chile,76,Group 3,1962-06-02,Estadio Sausalito; Viña del Mar,Brazil,Czechoslovakia,0,0
1962,Chile,77,Group 3,1962-06-03,Estadio Sausalito; Viña del Mar,Spain,Mexico,1,0
1962,Chile,78,Group 3,1962-06-06,Estadio Sausalito; Viña del Mar,Brazil,Spain,2,1
1962,Chile,79,Group 3,1962-06-07,Estadio Sausalito; Viña del Mar,Mexico,Czechoslovakia,3,1
1962,Chile,80,Group 4,1962-05-30,Estadio El Teniente; Rancagua,Argentina,Bulgaria,1,0
